id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,9604.45,1.0,6155430000.0,162452308524,16914275.0,16914275.0,21000000.0,-0.5,8.64,-16.62,1520842466,1
ethereum,Ethereum,ETH,2,726.624,0.0762191,1527670000.0,71308568877.0,98136820.0,98136820.0,,-0.39,4.53,-16.13,1520842453,1
ripple,Ripple,XRP,3,0.821998,0.00008622,422234000.0,32133510228.0,39091956706.0,99992520283.0,100000000000,-0.33,2.57,-20.58,1520842442,1
bitcoin-cash,Bitcoin Cash,BCH,4,1107.93,0.116216,519175000.0,18849351581.0,17013125.0,17013125.0,21000000.0,-0.9,9.75,-13.7,1520842453,1
litecoin,Litecoin,LTC,5,187.345,0.0196515,614011000.0,10414774158.0,55591418.0,55591418.0,84000000.0,-0.51,3.41,-11.77,1520842442,1
neo,NEO,NEO,6,90.9345,0.00953856,120295000.0,5910742500.0,65000000.0,100000000.0,100000000.0,-0.78,6.03,-23.05,1520842449,1
cardano,Cardano,ADA,7,0.223786,0.00002347,167043000.0,5802115407.0,25927070538.0,31112483745.0,45000000000.0,-0.0,8.71,-24.99,1520842454,1
stellar,Stellar,XLM,8,0.298851,0.00003135,24423900.0,5528272162.0,18498422832.0,103748462367,,-0.55,2.23,-22.22,1520842444,1
monero,Monero,XMR,9,281.527,0.0295307,62599700.0,4452379149.0,15815105.0,15815105.0,,-0.5,8.49,-23.68,1520842443,1
eos,EOS,EOS,10,6.08328,0.00063811,220889000.0,4395748301.0,722595097.0,900000000.0,1000000000.0,-0.76,4.01,-25.82,1520842452,1
dash,Dash,DASH,11,532.144,0.0558192,98244800.0,4225812763.0,7941108.0,7941108.0,18900000.0,-0.46,9.97,-13.98,1520842443,1
iota,IOTA,MIOTA,12,1.36117,0.00014278,26416000.0,3783413235.0,2779530283.0,2779530283.0,2779530283.0,-0.65,4.32,-27.77,1520842452,1
nem,NEM,XEM,13,0.352724,0.00003700,35112500.0,3174516000.0,8999999999.0,8999999999.0,,1.3,2.57,1.45,1520842446,1
