id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,9864.73,1.0,6439210000.0,166856847344,16914487.0,16914487.0,21000000.0,2.75,12.3,-14.35,1520848766,1
ethereum,Ethereum,ETH,2,739.921,0.075449,1566590000.0,72614815628.0,98138606.0,98138606.0,,1.87,6.87,-14.54,1520848752,1
ripple,Ripple,XRP,3,0.834583,0.00008510,435237000.0,32625482504.0,39091956706.0,99992520283.0,100000000000,1.5,4.69,-20.09,1520848741,1
bitcoin-cash,Bitcoin Cash,BCH,4,1132.61,0.115492,537511000.0,19269362925.0,17013238.0,17013238.0,21000000.0,2.03,12.07,-11.71,1520848752,1
litecoin,Litecoin,LTC,5,192.576,0.0196367,637420000.0,10705784698.0,55592518.0,55592518.0,84000000.0,2.91,6.96,-9.38,1520848741,1
neo,NEO,NEO,6,92.4538,0.00942742,124108000.0,6009497000.0,65000000.0,100000000.0,100000000.0,1.6,8.46,-21.74,1520848747,1
cardano,Cardano,ADA,7,0.228813,0.00002333,175982000.0,5932450791.0,25927070538.0,31112483745.0,45000000000.0,2.91,12.87,-23.77,1520848754,1
stellar,Stellar,XLM,8,0.306215,0.00003122,25428700.0,5664495742.0,18498426732.0,103748462367,,2.29,5.87,-20.52,1520848743,1
monero,Monero,XMR,9,285.193,0.0290809,65193300.0,4510440345.0,15815396.0,15815396.0,,1.28,10.1,-22.31,1520848742,1
eos,EOS,EOS,10,6.20805,0.00063303,229013000.0,4485992270.0,722608914.0,900000000.0,1000000000.0,2.06,7.21,-24.21,1520848751,1
dash,Dash,DASH,11,545.126,0.055586,99498500.0,4329000461.0,7941284.0,7941284.0,18900000.0,2.49,12.65,-11.78,1520848741,1
iota,IOTA,MIOTA,12,1.40687,0.00014346,28062900.0,3910437769.0,2779530283.0,2779530283.0,2779530283.0,3.02,8.92,-25.24,1520848750,1
nem,NEM,XEM,13,0.382149,0.00003897,48463100.0,3439341000.0,8999999999.0,8999999999.0,,3.81,11.69,8.83,1520848744,1
tron,TRON,TRX,14,0.0390713,0.00000398,265652000.0,2568867353.0,65748192475.0,100000000000,,2.04,12.15,-16.75,1520848753,1
tether,Tether,USDT,15,1.004,0.00010238,2345460000.0,2226009377.0,2217140814.0,2280109970.0,,0.31,0.07,0.53,1520848745,1
ethereum-classic,Ethereum Classic,ETC,16,21.7337,0.00221616,249796000.0,2183166704.0,100450761.0,100450761.0,,2.08,6.69,-25.47,1520848748,1
vechain,VeChain,VEN,17,4.00009,0.00040788,72006800.0,1939830087.0,484946610.0,873378637.0,,2.82,14.39,-14.99,1520848753,1
nano,Nano,NANO,18,11.7552,0.00119867,49244300.0,1566360289.0,133248289.0,133248289.0,133248290.0,2.2,8.91,-22.63,1520848750,1
