id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,9161.87,1.0,5804170000.0,154939700167,16911362.0,16911362.0,21000000.0,-0.92,3.11,-20.05,1520708366,1
ethereum,Ethereum,ETH,2,712.941,0.0785516,1622170000.0,69943269031.0,98105270.0,98105270.0,,-0.7,2.93,-17.15,1520708352,1
ripple,Ripple,XRP,3,0.811224,0.00008938,443849000.0,31712333487.0,39091956706.0,99992520283.0,100000000000,-0.57,-1.27,-10.66,1520708341,1
bitcoin-cash,Bitcoin Cash,BCH,4,1025.77,0.113018,405127000.0,17448950340.0,17010588.0,17010588.0,21000000.0,-1.14,5.45,-19.51,1520708352,1
litecoin,Litecoin,LTC,5,184.095,0.0202835,706777000.0,10229946106.0,55568843.0,55568843.0,84000000.0,-0.33,1.89,-13.21,1520708341,1
neo,NEO,NEO,6,88.9345,0.00979876,133725000.0,5780742500.0,65000000.0,100000000.0,100000000.0,-1.23,0.19,-28.12,1520708347,1
cardano,Cardano,ADA,7,0.21535,0.00002373,146495000.0,5583394640.0,25927070538.0,31112483745.0,45000000000.0,-1.03,5.04,-27.37,1520708353,1
stellar,Stellar,XLM,8,0.299283,0.00003297,23468200.0,5536262433.0,18498419332.0,103748462367,,-1.33,1.8,-8.91,1520708342,1
eos,EOS,EOS,9,6.09333,0.00067136,322155000.0,4387195522.0,719999659.0,900000000.0,1000000000.0,-0.33,6.03,-24.33,1520708351,1
monero,Monero,XMR,10,274.938,0.0302925,84329000.0,4346672354.0,15809646.0,15809646.0,,-0.42,4.55,-22.36,1520708342,1
dash,Dash,DASH,11,494.767,0.0545132,98032100.0,3927515134.0,7938111.0,7938111.0,18900000.0,-0.78,7.2,-18.93,1520708341,1
iota,IOTA,MIOTA,12,1.35591,0.00014939,32550800.0,3768792906.0,2779530283.0,2779530283.0,2779530283.0,-1.4,4.55,-27.34,1520708351,1
nem,NEM,XEM,13,0.347049,0.00003824,24408900.0,3123441000.0,8999999999.0,8999999999.0,,-0.93,5.22,-10.45,1520708343,1
tron,TRON,TRX,14,0.0357325,0.00000394,267371000.0,2349347288.0,65748192475.0,100000000000,,-1.3,6.05,-26.87,1520708353,1
tether,Tether,USDT,15,0.999942,0.00011017,2344450000.0,2217012219.0,2217140814.0,2280109970.0,,-0.38,-0.04,0.07,1520708345,1
ethereum-classic,Ethereum Classic,ETC,16,21.4454,0.00236285,278529000.0,2153428604.0,100414476.0,100414476.0,,-0.94,0.49,-27.3,1520708346,1
vechain,VeChain,VEN,17,3.61757,0.00039858,68168700.0,1740925087.0,481241576.0,873378637.0,,-2.5,5.14,-18.93,1520708353,1
lisk,Lisk,LSK,18,14.7935,0.00162994,18848100.0,1518950630.0,102676894.0,118893540.0,,-1.62,0.04,-21.63,1520708346,1
nano,Nano,NANO,19,11.3748,0.00125327,86275600.0,1515672640.0,133248289.0,133248289.0,133248290.0,-1.97,9.82,-24.19,1520708349,1
omisego,OmiseGO,OMG,20,13.7577,0.00151582,50798900.0,1403870814.0,102042552.0,140245398.0,,-3.1,1.61,-23.22,1520708351,1
bitcoin-gold,Bitcoin Gold,BTG,21,83.1722,0.00916388,20194000.0,1403335303.0,16872649.0,16972649.0,21000000.0,-0.51,2.15,-25.75,1520708355,1
qtum,Qtum,QTUM,22,18.7902,0.0020703,123157000.0,1389329274.0,73939036.0,100439036.0,,-1.19,1.34,-27.51,1520708350,1
zcash,Zcash,ZEC,23,299.977,0.0330514,57615300.0,1035091262.0,3450569.0,3450569.0,,-1.85,1.19,-23.33,1520708347,1
icon,ICON,ICX,24,2.59023,0.00028539,12792700.0,1000197924.0,386142514.0,400230000.0,,-2.93,5.96,-29.62,1520708354,1
binance-coin,Binance Coin,BNB,25,7.92028,0.00087265,44290200.0,784218604.0,99014000.0,197192382.0,,-0.94,3.06,-22.45,1520708351,1
digixdao,DigixDAO,DGD,26,344.56,0.0379634,21136900.0,689120000.0,2000000.0,2000000.0,,-2.18,5.78,-30.44,1520708346,1
steem,Steem,STEEM,27,2.46627,0.00027173,3483880.0,622100693.0,252243547.0,269217641.0,,-0.91,1.93,-30.59,1520708346,1
bytecoin-bcn,Bytecoin,BCN,28,0.00330214,0.00000036,4129410.0,606848269.0,183774239900,183774239900,184470000000,-1.38,2.34,-22.34,1520708342,1
populous,Populous,PPT,29,16.0962,0.00177348,3464260.0,595624218.0,37004027.0,53252246.0,53252246.0,-3.25,6.7,-22.75,1520708351,1
waves,Waves,WAVES,30,5.68808,0.00062671,19646200.0,568808000.0,100000000.0,100000000.0,,-1.26,0.48,-17.53,1520708346,1
verge,Verge,XVG,31,0.0377584,0.00000416,12348400.0,554874779.0,14695399664.0,14695399664.0,16555000000.0,-1.89,5.73,-33.67,1520708343,1
stratis,Stratis,STRAT,32,5.44773,0.00060023,4857150.0,538080623.0,98771529.0,98771529.0,,-2.15,1.34,-34.49,1520708347,1
maker,Maker,MKR,33,813.561,0.0896378,1463840.0,502966003.0,618228.0,1000000.0,,-1.13,0.93,-18.86,1520708349,1
rchain,RChain,RHOC,34,1.36223,0.00015009,906544.0,489598093.0,359409272.0,870663574.0,1000000000.0,-1.03,-4.02,-25.06,1520708353,1
status,Status,SNT,35,0.140939,0.00001553,26489400.0,489126515.0,3470483788.0,6804870174.0,,-0.78,0.2,-12.45,1520708351,1
dogecoin,Dogecoin,DOGE,36,0.00413114,0.00000046,10727400.0,469009975.0,113530399613,113530399613,,-0.91,6.01,-23.43,1520708341,1
siacoin,Siacoin,SC,37,0.013391,0.00000148,3102730.0,442099610.0,33014682275.0,33014682275.0,,-1.35,3.18,-34.63,1520708345,1
bitshares,BitShares,BTS,38,0.167288,0.00001843,8656010.0,436693614.0,2610430000.0,2610430000.0,3600570502.0,-1.8,3.7,-23.2,1520708342,1
decred,Decred,DCR,39,62.4257,0.00687804,618482.0,431209112.0,6907558.0,7327558.0,21000000.0,-1.21,7.82,-22.56,1520708346,1
aeternity,Aeternity,AE,40,1.82836,0.00020145,2204830.0,426045310.0,233020472.0,273685830.0,,-0.09,0.69,-20.78,1520708350,1
waltonchain,Waltonchain,WTC,41,15.8316,0.00174432,8037110.0,394177995.0,24898178.0,70000000.0,100000000.0,-1.29,5.26,-18.1,1520708352,1
augur,Augur,REP,42,34.7292,0.00382645,2821910.0,382021200.0,11000000.0,11000000.0,,-0.56,-1.73,-26.39,1520708345,1
bytom,Bytom,BTM,43,0.359395,0.00003960,18299500.0,354722865.0,987000000.0,1407000000.0,,-0.12,4.93,-9.79,1520708352,1
komodo,Komodo,KMD,44,3.37972,0.00037238,1286480.0,351263904.0,103932842.0,103932842.0,,-0.77,7.52,-27.67,1520708349,1
0x,0x,ZRX,45,0.672899,0.00007414,7439050.0,347814484.0,516889584.0,1000000000.0,,-1.82,13.95,-27.17,1520708352,1
veritaseum,Veritaseum,VERI,46,166.75,0.0183725,544416.0,339610627.0,2036645.0,100000000.0,,-1.2,-2.79,-29.25,1520708350,1
electroneum,Electroneum,ETN,47,0.051477,0.00000567,1065430.0,328698350.0,6385343934.0,6385343934.0,21000000000.0,-1.29,5.24,-29.42,1520708355,1
ark,Ark,ARK,48,3.22081,0.00035487,960509.0,325774644.0,101146806.0,132396806.0,,-0.37,4.14,-25.91,1520708349,1
cryptonex,Cryptonex,CNX,49,6.62486,0.00072992,162655.0,299161293.0,45157376.0,106595001.0,210000000.0,-1.09,9.76,-16.1,1520708353,1
kucoin-shares,KuCoin Shares,KCS,50,3.25351,0.00035847,743890.0,296209558.0,91043076.0,181043076.0,,-0.48,9.95,-16.57,1520708354,1
ardor,Ardor,ARDR,51,0.289146,0.00003186,4419440.0,288856708.0,998999495.0,998999495.0,998999495.0,-2.33,-0.09,-31.69,1520708346,1
zilliqa,Zilliqa,ZIL,52,0.0433389,0.00000478,22936000.0,286267605.0,6605326966.0,12600000000.0,,-2.17,11.07,-6.46,1520708359,1
syscoin,Syscoin,SYS,53,0.513169,0.00005654,1486010.0,272748186.0,531497783.0,531497783.0,888000000.0,-1.19,2.58,-27.21,1520708343,1
basic-attention-token,Basic Attention Token,BAT,54,0.269023,0.00002964,4860920.0,269023000.0,1000000000.0,1500000000.0,,-1.5,9.72,-29.39,1520708350,1
hshare,Hshare,HSR,55,6.16493,0.00067925,20044200.0,263373680.0,42721277.0,42721277.0,84000000.0,-0.24,-1.14,-36.35,1520708352,1
golem-network-tokens,Golem,GNT,56,0.315244,0.00003473,4449480.0,262996090.0,834262000.0,1000000000.0,,-1.78,6.44,-25.94,1520708348,1
dragonchain,Dragonchain,DRGN,57,1.07839,0.00011882,1683860.0,257111836.0,238421940.0,433494437.0,,-3.66,1.19,-28.64,1520708356,1
digibyte,DigiByte,DGB,58,0.025644,0.00000283,1661990.0,255249194.0,9953563933.0,9953563933.0,21000000000.0,-1.59,3.12,-26.44,1520708341,1
pivx,PIVX,PIVX,59,4.56833,0.00050334,1056120.0,254608920.0,55733478.0,55733478.0,,-1.24,2.22,-28.74,1520708345,1
gas,Gas,GAS,60,25.723,0.00283415,4001070.0,254317539.0,9886776.0,16053956.0,100000000.0,-3.37,5.35,-31.28,1520708351,1
monacoin,MonaCoin,MONA,61,4.15044,0.00045729,2133410.0,240608996.0,57971925.0,57971925.0,,-0.68,2.48,-23.33,1520708342,1
ethos,Ethos,ETHOS,62,3.10351,0.00034194,3009020.0,235789676.0,75975162.0,222295208.0,,-2.71,2.08,-39.92,1520708351,1
aion,Aion,AION,63,2.40918,0.00026544,1811600.0,231653024.0,96154303.0,465934587.0,,-1.73,3.73,-24.38,1520708354,1
qash,QASH,QASH,64,0.659883,0.00007271,2690920.0,230959050.0,350000000.0,1000000000.0,,-0.87,3.28,-18.97,1520708356,1
factom,Factom,FCT,65,26.0284,0.00286779,2431230.0,227621013.0,8745102.0,8745102.0,,-0.99,4.92,-26.92,1520708345,1
nebulas-token,Nebulas,NAS,66,6.07845,0.00066972,7286100.0,215784975.0,35500000.0,100000000.0,100000000.0,-1.47,10.66,-23.0,1520708352,1
loopring,Loopring,LRC,67,0.375695,0.00004139,3832310.0,214610649.0,571236371.0,1374956262.0,,-2.23,-2.91,-28.13,1520708353,1
funfair,FunFair,FUN,68,0.0445808,0.00000491,1296960.0,205297914.0,4605074689.0,10999873621.0,,-2.68,9.43,-29.45,1520708351,1
byteball,Byteball Bytes,GBYTE,69,318.155,0.0350542,3229330.0,205280622.0,645222.0,1000000.0,,-0.2,17.18,-26.29,1520708348,1
revain,Revain,R,70,1.06254,0.00011707,5746420.0,195985503.0,184450000.0,484450000.0,484450000.0,-0.96,1.3,-37.17,1520708355,1
aelf,aelf,ELF,71,0.75732,0.00008344,8639340.0,189330000.0,250000000.0,280000000.0,1000000000.0,0.04,3.1,-38.81,1520708357,1
particl,Particl,PART,72,21.1763,0.00233319,290380.0,188308157.0,8892401.0,8892401.0,,-1.9,2.17,-26.37,1520708351,1
dentacoin,Dentacoin,DCN,73,0.000576197,0.00000006,472911.0,187394599.0,325226613094,1963173416169,8000000000000,-2.0,26.79,-10.04,1520708352,1
reddcoin,ReddCoin,RDD,74,0.00618376,0.00000068,3152410.0,177932449.0,28774151777.0,28774151777.0,,-2.04,2.7,-29.26,1520708341,1
zcoin,ZCoin,XZC,75,41.2181,0.00454139,978961.0,176319094.0,4277710.0,4277710.0,21400000.0,-1.66,5.4,-24.37,1520708348,1
gxchain,GXChain,GXS,76,2.91947,0.00032167,5073650.0,175168200.0,60000000.0,100000000.0,100000000.0,-0.87,2.5,-25.05,1520708350,1
kin,Kin,KIN,77,0.000229314,0.00000003,231211.0,173383756.0,756097560976,10000000000000,,0.98,3.67,-17.63,1520708354,1
chainlink,ChainLink,LINK,78,0.488834,0.00005386,2625190.0,171091900.0,350000000.0,1000000000.0,,-0.68,8.62,-22.83,1520708353,1
kyber-network,Kyber Network,KNC,79,1.26837,0.00013975,5391010.0,170129889.0,134132697.0,215625349.0,,-1.54,1.87,-29.73,1520708354,1
salt,SALT,SALT,80,3.04883,0.00033592,3244180.0,169946540.0,55741560.0,120000000.0,,-1.68,0.12,-31.97,1520708353,1
polymath-network,Polymath,POLY,81,0.665519,0.00007333,762618.0,159724394.0,239999750.0,1000000000.0,,-3.31,13.49,-27.29,1520708359,1
nxt,Nxt,NXT,82,0.15779,0.00001739,2409650.0,157632201.0,998999942.0,998999942.0,1000000000.0,-2.1,1.1,-19.7,1520708340,1
iostoken,IOStoken,IOST,83,0.0185552,0.00000204,25536500.0,155863680.0,8400000000.0,21000000000.0,,-1.76,5.89,-46.14,1520708358,1
nexus,Nexus,NXS,84,2.75839,0.00030392,2950400.0,154649537.0,56065146.0,56065146.0,,0.43,5.46,-8.35,1520708343,1
bancor,Bancor,BNT,85,3.94778,0.00043496,3207880.0,154014361.0,39012904.0,74266807.0,,-0.77,2.67,-20.75,1520708350,1
dent,Dent,DENT,86,0.0145013,0.00000160,1127870.0,153927833.0,10614760961.0,100000000000,,-2.04,0.98,-33.78,1520708352,1
power-ledger,Power Ledger,POWR,87,0.418536,0.00004611,2543770.0,152318913.0,363932644.0,1000000000.0,,-2.01,6.14,-32.69,1520708355,1
smartcash,SmartCash,SMART,88,0.191966,0.00002115,209986.0,149673330.0,779686661.0,1380730940.0,5000000000.0,-3.17,1.9,-22.32,1520708352,1
iconomi,Iconomi,ICN,89,1.49731,0.00016497,1678570.0,149335241.0,99735687.0,99735687.0,,-2.04,7.88,-30.33,1520708347,1
neblio,Neblio,NEBL,90,11.5137,0.00126857,3539260.0,148430398.0,12891633.0,13642973.0,,-3.33,6.14,-32.5,1520708353,1
emercoin,Emercoin,EMC,91,3.55368,0.00039154,824459.0,147378340.0,41472035.0,41472035.0,,-1.81,8.42,-4.17,1520708342,1
sirin-labs-token,SIRIN LABS Token,SRN,92,0.64166,0.00007070,10249900.0,147105707.0,229258029.0,573145073.0,,-0.83,9.27,3.78,1520708358,1
singularitynet,SingularityNET,AGI,93,0.275779,0.00003039,546837.0,143876673.0,521710040.0,1000000000.0,,-1.13,0.56,-27.01,1520708359,1
bitcore,Bitcore,BTX,94,11.6052,0.00127865,1799820.0,139809027.0,12047102.0,16846534.0,21000000.0,-0.42,2.26,-27.52,1520708349,1
tenx,TenX,PAY,95,1.32974,0.00014651,1973810.0,139172330.0,104661310.0,205218256.0,,-1.73,7.53,-23.21,1520708351,1
enigma-project,Enigma,ENG,96,1.84322,0.00020309,3264200.0,137939527.0,74836171.0,150000000.0,,-1.77,1.68,-33.21,1520708354,1
request-network,Request Network,REQ,97,0.204977,0.00002258,1709980.0,135839692.0,662706996.0,999999999.0,,-2.49,4.68,-29.15,1520708355,1
pillar,Pillar,PLR,98,0.595273,0.00006559,288040.0,135356032.0,227384800.0,800000000.0,,-2.74,13.52,-28.26,1520708352,1
storj,Storj,STORJ,99,1.00576,0.00011081,3770490.0,134194023.0,133425493.0,424999998.0,,3.28,11.09,2.59,1520708351,1
maidsafecoin,MaidSafeCoin,MAID,100,0.296375,0.00003265,1409610.0,134125221.0,452552412.0,452552412.0,,-0.73,2.5,-26.63,1520708342,1
blocknet,Blocknet,BLOCK,101,26.0479,0.00286995,523951.0,131504942.0,5048581.0,5048581.0,,-2.02,0.89,-29.72,1520708343,1
cindicator,Cindicator,CND,102,0.0887699,0.00000978,2221100.0,128359197.0,1445976590.0,2000000005.0,,-2.11,4.01,-33.26,1520708354,1
genesis-vision,Genesis Vision,GVT,103,33.7404,0.00371751,8492910.0,125743078.0,3726781.0,4436644.0,,-1.1,6.36,-10.51,1520708355,1
