id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,9489.22,1.0,6474360000.0,160473499443,16911137.0,16911137.0,21000000.0,1.56,4.58,-17.03,1520691866,1
ethereum,Ethereum,ETH,2,739.548,0.0782759,1804940000.0,72550598695.0,98101271.0,98101271.0,,1.51,5.77,-14.32,1520691852,1
ripple,Ripple,XRP,3,0.839028,0.00008889,677653000.0,32799246251.0,39091956706.0,99992520283.0,100000000000,1.44,2.17,-7.76,1520692141,1
bitcoin-cash,Bitcoin Cash,BCH,4,1074.64,0.113743,430842000.0,18279680132.0,17010050.0,17010050.0,21000000.0,1.22,8.29,-16.01,1520691852,1
litecoin,Litecoin,LTC,5,189.413,0.0200677,813223000.0,10524907178.0,55565918.0,55565918.0,84000000.0,1.97,6.55,-11.35,1520692141,1
neo,NEO,NEO,6,92.8786,0.00984018,160408000.0,6037109000.0,65000000.0,100000000.0,100000000.0,1.26,4.34,-25.71,1520692147,1
stellar,Stellar,XLM,7,0.31367,0.00003323,28491800.0,5802398878.0,18498418332.0,103748462367,,0.47,5.48,-2.71,1520692142,1
cardano,Cardano,ADA,8,0.221339,0.00002343,160191000.0,5738671866.0,25927070538.0,31112483745.0,45000000000.0,1.86,5.87,-25.77,1520691853,1
eos,EOS,EOS,9,6.2792,0.00066461,340251000.0,4512246952.0,718602203.0,900000000.0,1000000000.0,3.18,7.98,-22.49,1520691851,1
monero,Monero,XMR,10,284.508,0.0301427,99284000.0,4497783182.0,15808987.0,15808987.0,,1.67,4.85,-19.74,1520692142,1
dash,Dash,DASH,11,515.223,0.0545862,102452000.0,4089691791.0,7937712.0,7937712.0,18900000.0,0.46,10.73,-15.36,1520692141,1
iota,IOTA,MIOTA,12,1.44202,0.00015263,38101900.0,4008138259.0,2779530283.0,2779530283.0,2779530283.0,1.16,9.56,-23.21,1520691850,1
nem,NEM,XEM,13,0.354971,0.00003761,29659600.0,3194739000.0,8999999999.0,8999999999.0,,0.26,5.53,-9.97,1520692144,1
