id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,9174.01,1.0,5757560000.0,155145692152,16911437.0,16911437.0,21000000.0,0.24,2.85,-19.93,1520711964,1
ethereum,Ethereum,ETH,2,713.364,0.0785382,1615900000.0,69985356286.0,98106095.0,98106095.0,,0.13,2.8,-17.01,1520711952,1
ripple,Ripple,XRP,3,0.816777,0.00008992,438397000.0,31929411122.0,39091956706.0,99992520283.0,100000000000,0.8,-0.7,-10.0,1520711941,1
bitcoin-cash,Bitcoin Cash,BCH,4,1032.26,0.113647,403967000.0,17559400666.0,17010638.0,17010638.0,21000000.0,0.46,5.17,-18.89,1520711952,1
litecoin,Litecoin,LTC,5,183.918,0.0202485,699425000.0,10220225369.0,55569468.0,55569468.0,84000000.0,0.1,0.79,-13.1,1520711941,1
neo,NEO,NEO,6,88.821,0.00977879,132181000.0,5773365000.0,65000000.0,100000000.0,100000000.0,-0.05,-0.17,-27.94,1520711947,1
cardano,Cardano,ADA,7,0.215355,0.00002371,146635000.0,5583524276.0,25927070538.0,31112483745.0,45000000000.0,0.15,4.33,-27.26,1520711953,1
stellar,Stellar,XLM,8,0.299149,0.00003293,23339600.0,5533783645.0,18498419332.0,103748462367,,0.06,1.27,-9.52,1520711943,1
eos,EOS,EOS,9,6.11308,0.00067302,322601000.0,4401436761.0,720003135.0,900000000.0,1000000000.0,0.66,5.82,-23.9,1520711951,1
monero,Monero,XMR,10,273.824,0.0301468,83728600.0,4329093461.0,15809766.0,15809766.0,,-0.09,3.39,-22.76,1520711942,1
dash,Dash,DASH,11,495.566,0.0545595,96965200.0,3933893394.0,7938183.0,7938183.0,18900000.0,0.1,6.73,-18.77,1520711941,1
iota,IOTA,MIOTA,12,1.34622,0.00014821,33175500.0,3741859258.0,2779530283.0,2779530283.0,2779530283.0,-0.29,2.78,-27.76,1520711950,1
nem,NEM,XEM,13,0.347332,0.00003824,24113500.0,3125988000.0,8999999999.0,8999999999.0,,0.14,4.87,-9.89,1520711944,1
tron,TRON,TRX,14,0.0358306,0.00000394,268278000.0,2355797185.0,65748192475.0,100000000000,,0.27,5.75,-26.74,1520711953,1
tether,Tether,USDT,15,0.999395,0.00011003,2332400000.0,2215799443.0,2217140814.0,2280109970.0,,-0.34,-0.15,-0.01,1520711945,1
ethereum-classic,Ethereum Classic,ETC,16,21.4383,0.00236026,277495000.0,2152735598.0,100415406.0,100415406.0,,0.05,-0.19,-27.09,1520711947,1
vechain,VeChain,VEN,17,3.65247,0.00040212,68368500.0,1757720418.0,481241576.0,873378637.0,,0.6,5.23,-17.99,1520711953,1
lisk,Lisk,LSK,18,14.7675,0.00162583,18643500.0,1516302296.0,102678334.0,118894980.0,,-0.67,-0.57,-21.62,1520711946,1
nano,Nano,NANO,19,11.3495,0.00124953,85450100.0,1512301458.0,133248289.0,133248289.0,133248290.0,-0.05,7.76,-24.25,1520711949,1
omisego,OmiseGO,OMG,20,13.8789,0.001528,50824400.0,1416238372.0,102042552.0,140245398.0,,0.78,1.26,-22.27,1520711951,1
bitcoin-gold,Bitcoin Gold,BTG,21,83.1397,0.00915331,20303500.0,1402790060.0,16872686.0,16972686.0,21000000.0,0.39,1.69,-25.69,1520711954,1
qtum,Qtum,QTUM,22,18.8025,0.00207007,122487000.0,1390240454.0,73939128.0,100439128.0,,0.03,0.9,-27.36,1520711950,1
zcash,Zcash,ZEC,23,299.516,0.0329753,55240900.0,1033594148.0,3450881.0,3450881.0,,-0.24,1.0,-23.27,1520711948,1
icon,ICON,ICX,24,2.61884,0.00028832,12714400.0,1011245461.0,386142514.0,400230000.0,,1.4,7.09,-28.67,1520711955,1
binance-coin,Binance Coin,BNB,25,7.94294,0.00087448,44997600.0,786462261.0,99014000.0,197192382.0,,0.39,2.85,-22.11,1520711951,1
digixdao,DigixDAO,DGD,26,344.796,0.0379605,21166500.0,689592000.0,2000000.0,2000000.0,,-0.18,5.39,-31.28,1520711946,1
steem,Steem,STEEM,27,2.44838,0.00026956,3424000.0,617594668.0,252246248.0,269220342.0,,-0.92,1.17,-31.29,1520711946,1
populous,Populous,PPT,28,16.4623,0.00181242,3414000.0,609171392.0,37004027.0,53252246.0,53252246.0,1.84,8.19,-20.93,1520711951,1
bytecoin-bcn,Bytecoin,BCN,29,0.00329895,0.00000036,3918270.0,606262282.0,183774316582,183774316582,184470000000,-0.08,2.07,-22.34,1520711942,1
waves,Waves,WAVES,30,5.68934,0.00062637,19431300.0,568934000.0,100000000.0,100000000.0,,-0.12,0.19,-17.45,1520711946,1
verge,Verge,XVG,31,0.0376356,0.00000414,12287000.0,553073338.0,14695483485.0,14695483485.0,16555000000.0,-0.14,5.08,-33.7,1520711943,1
stratis,Stratis,STRAT,32,5.52379,0.00060814,4965910.0,545593489.0,98771584.0,98771584.0,,1.35,2.47,-33.08,1520711947,1
maker,Maker,MKR,33,819.764,0.0902523,1468760.0,506800870.0,618228.0,1000000.0,,0.5,2.0,-18.23,1520711948,1
status,Status,SNT,34,0.140635,0.00001548,26455600.0,488071488.0,3470483788.0,6804870174.0,,-0.24,-0.37,-12.8,1520711950,1
rchain,RChain,RHOC,35,1.35116,0.00014876,923936.0,485619432.0,359409272.0,870663574.0,1000000000.0,-0.65,-5.92,-25.44,1520711953,1
dogecoin,Dogecoin,DOGE,36,0.00411251,0.00000045,10533100.0,466894904.0,113530399613,113530399613,,-0.1,5.33,-23.37,1520711941,1
siacoin,Siacoin,SC,37,0.0134252,0.00000148,3058430.0,443245341.0,33015920847.0,33015920847.0,,0.23,3.13,-34.29,1520711945,1
bitshares,BitShares,BTS,38,0.169218,0.00001863,9015240.0,441733436.0,2610440000.0,2610440000.0,3600570502.0,1.47,4.87,-21.81,1520711942,1
decred,Decred,DCR,39,62.9379,0.00692918,620087.0,434765181.0,6907844.0,7327844.0,21000000.0,0.48,7.87,-21.82,1520711946,1
aeternity,Aeternity,AE,40,1.814,0.00019971,2214980.0,422699136.0,233020472.0,273685830.0,,-0.5,-0.15,-21.33,1520711950,1
