id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,8876.01,1.0,5586550000.0,150107530716,16911600.0,16911600.0,21000000.0,-0.74,-2.52,-22.39,1520718866,1
ethereum,Ethereum,ETH,2,685.455,0.0778196,1568480000.0,67248478278.0,98107794.0,98107794.0,,-1.2,-2.62,-20.09,1520719152,1
ripple,Ripple,XRP,3,0.799113,0.00009072,433551000.0,31238890799.0,39091956706.0,99992520283.0,100000000000,-0.11,-3.99,-11.8,1520719140,1
bitcoin-cash,Bitcoin Cash,BCH,4,999.527,0.113476,385688000.0,17002703915.0,17010750.0,17010750.0,21000000.0,-0.65,-1.79,-21.21,1520719151,1
litecoin,Litecoin,LTC,5,178.375,0.0202509,658909000.0,9912386644.0,55570493.0,55570493.0,84000000.0,-0.09,-4.59,-15.36,1520719140,1
neo,NEO,NEO,6,85.9081,0.00975314,129310000.0,5584026500.0,65000000.0,100000000.0,100000000.0,-0.71,-5.44,-29.69,1520719147,1
cardano,Cardano,ADA,7,0.21009,0.00002385,144544000.0,5447018249.0,25927070538.0,31112483745.0,45000000000.0,0.0,-0.7,-28.76,1520719154,1
stellar,Stellar,XLM,8,0.292096,0.00003316,22889600.0,5403314293.0,18498419332.0,103748462367,,-0.36,-2.95,-12.62,1520719143,1
eos,EOS,EOS,9,5.94555,0.000675,322910000.0,4280899977.0,720017488.0,900000000.0,1000000000.0,-1.18,1.36,-25.63,1520719151,1
monero,Monero,XMR,10,258.801,0.0293817,82158800.0,4091636558.0,15809972.0,15809972.0,,-1.7,-5.1,-26.84,1520719144,1
dash,Dash,DASH,11,481.29,0.0546408,93661800.0,3820640730.0,7938334.0,7938334.0,18900000.0,-0.54,0.98,-20.97,1520719141,1
iota,IOTA,MIOTA,12,1.30721,0.00014841,32974300.0,3633429781.0,2779530283.0,2779530283.0,2779530283.0,0.61,-2.95,-29.61,1520719150,1
nem,NEM,XEM,13,0.342933,0.00003893,23989500.0,3086397000.0,8999999999.0,8999999999.0,,0.12,2.08,-9.71,1520719144,1
tron,TRON,TRX,14,0.0347143,0.00000394,259585000.0,2282402478.0,65748192475.0,100000000000,,-0.39,-0.61,-29.06,1520719153,1
tether,Tether,USDT,15,1.00107,0.00011365,2287620000.0,2219513154.0,2217140814.0,2280109970.0,,-0.19,0.01,0.11,1520719145,1
ethereum-classic,Ethereum Classic,ETC,16,20.9144,0.00237441,272532000.0,2100164588.0,100417157.0,100417157.0,,-0.29,-4.22,-28.83,1520719146,1
vechain,VeChain,VEN,17,3.51902,0.00039951,66519700.0,1697212254.0,482296848.0,873378637.0,,-0.45,-1.92,-20.64,1520719152,1
lisk,Lisk,LSK,18,14.2752,0.00162066,18123300.0,1465794579.0,102681194.0,118897840.0,,-1.08,-5.71,-23.85,1520719146,1
nano,Nano,NANO,19,10.832,0.00122976,83406600.0,1443345469.0,133248289.0,133248289.0,133248290.0,1.11,-2.95,-27.43,1520719148,1
bitcoin-gold,Bitcoin Gold,BTG,20,80.8327,0.00917692,19816700.0,1363878919.0,16872861.0,16972861.0,21000000.0,-0.71,-3.02,-27.51,1520719154,1
omisego,OmiseGO,OMG,21,13.3414,0.00151464,49270100.0,1361390500.0,102042552.0,140245398.0,,-0.5,-5.73,-24.75,1520719151,1
qtum,Qtum,QTUM,22,18.327,0.00208066,120547000.0,1355086284.0,73939340.0,100439340.0,,-0.65,-3.44,-29.01,1520719150,1
zcash,Zcash,ZEC,23,289.782,0.0328989,52610100.0,1000191629.0,3451531.0,3451531.0,,-0.59,-3.14,-25.48,1520719148,1
icon,ICON,ICX,24,2.45458,0.00027867,12937600.0,947817692.0,386142514.0,400230000.0,,-1.53,-2.18,-32.82,1520719155,1
binance-coin,Binance Coin,BNB,25,7.67619,0.00087148,44239600.0,760050277.0,99014000.0,197192382.0,,-0.75,-2.56,-24.54,1520719152,1
digixdao,DigixDAO,DGD,26,357.127,0.0405446,21790500.0,714254000.0,2000000.0,2000000.0,,3.27,4.4,-30.74,1520719146,1
steem,Steem,STEEM,27,2.38099,0.00027031,3385780.0,600681981.0,252282446.0,269256540.0,,-0.42,-4.45,-33.14,1520719146,1
populous,Populous,PPT,28,15.924,0.00180785,3183060.0,589252124.0,37004027.0,53252246.0,53252246.0,-0.11,3.01,-23.47,1520719151,1
bytecoin-bcn,Bytecoin,BCN,29,0.00318241,0.00000036,3690500.0,584845694.0,183774464530,183774464530,184470000000,-1.29,-3.08,-24.72,1520719142,1
waves,Waves,WAVES,30,5.55634,0.00063081,18443500.0,555634000.0,100000000.0,100000000.0,,0.15,-3.53,-18.97,1520719147,1
verge,Verge,XVG,31,0.0362135,0.00000411,12007000.0,532183611.0,14695724287.0,14695724287.0,16555000000.0,0.7,-2.44,-35.87,1520719143,1
stratis,Stratis,STRAT,32,5.32469,0.00060451,4716940.0,525928626.0,98771689.0,98771689.0,,-0.88,-3.18,-34.98,1520719146,1
maker,Maker,MKR,33,794.874,0.0902419,1407080.0,491413181.0,618228.0,1000000.0,,-0.62,-2.08,-20.68,1520719148,1
status,Status,SNT,34,0.137055,0.00001556,26334500.0,475647156.0,3470483788.0,6804870174.0,,-0.43,-4.15,-14.62,1520719150,1
rchain,RChain,RHOC,35,1.28362,0.00014573,907871.0,461344930.0,359409272.0,870663574.0,1000000000.0,-0.57,-14.73,-28.97,1520719154,1
dogecoin,Dogecoin,DOGE,36,0.00398184,0.00000045,10224100.0,452059886.0,113530399613,113530399613,,-0.71,0.06,-25.0,1520719141,1
bitshares,BitShares,BTS,37,0.164079,0.00001863,8564910.0,428320026.0,2610450000.0,2610450000.0,3600570502.0,-0.67,0.56,-23.21,1520719143,1
siacoin,Siacoin,SC,38,0.012937,0.00000147,2902960.0,427157010.0,33018242997.0,33018242997.0,,-0.88,-3.07,-35.95,1520719145,1
decred,Decred,DCR,39,60.7089,0.00689228,610608.0,419400485.0,6908386.0,7328386.0,21000000.0,-0.49,1.55,-24.37,1520719145,1
aeternity,Aeternity,AE,40,1.76895,0.00020083,2117160.0,412201564.0,233020472.0,273685830.0,,-1.13,-3.44,-23.13,1520719150,1
waltonchain,Waltonchain,WTC,41,15.0623,0.00171002,7910060.0,375023826.0,24898178.0,70000000.0,100000000.0,-0.76,-2.77,-21.71,1520719153,1
augur,Augur,REP,42,33.4411,0.00379657,2534620.0,367852100.0,11000000.0,11000000.0,,-1.37,-7.06,-29.11,1520719145,1
bytom,Bytom,BTM,43,0.350196,0.00003976,17869100.0,345643452.0,987000000.0,1407000000.0,,-0.17,0.25,-12.82,1520719151,1
komodo,Komodo,KMD,44,3.27978,0.00037235,1267620.0,340898817.0,103939538.0,103939538.0,,-0.78,1.19,-28.57,1520719148,1
0x,0x,ZRX,45,0.655318,0.00007440,7662090.0,338675941.0,516811595.0,1000000000.0,,0.21,6.92,-28.39,1520719152,1
veritaseum,Veritaseum,VERI,46,162.624,0.0184627,425414.0,331207428.0,2036645.0,100000000.0,,1.49,-6.12,-30.09,1520719150,1
electroneum,Electroneum,ETN,47,0.0492264,0.00000559,930106.0,314381540.0,6386441821.0,6386441821.0,21000000000.0,-1.17,-2.48,-32.44,1520719154,1
ark,Ark,ARK,48,3.08555,0.0003503,982219.0,312101852.0,101149504.0,132399504.0,,-1.35,-2.74,-28.4,1520719148,1
ardor,Ardor,ARDR,49,0.28526,0.00003239,4110740.0,284974596.0,998999495.0,998999495.0,998999495.0,0.02,-2.12,-31.53,1520719148,1
cryptonex,Cryptonex,CNX,50,6.25362,0.00070997,157852.0,282398313.0,45157575.0,106595200.0,210000000.0,-0.35,0.15,-19.36,1520719153,1
kucoin-shares,KuCoin Shares,KCS,51,3.06549,0.00034803,724809.0,279091639.0,91043076.0,181043076.0,,-2.19,0.9,-18.92,1520719154,1
zilliqa,Zilliqa,ZIL,52,0.0418524,0.00000475,22963500.0,276448786.0,6605326966.0,12600000000.0,,-1.46,3.9,-11.55,1520719159,1
basic-attention-token,Basic Attention Token,BAT,53,0.264946,0.00003008,4321360.0,264946000.0,1000000000.0,1500000000.0,,0.16,5.89,-29.91,1520719150,1
syscoin,Syscoin,SYS,54,0.489732,0.00005560,1558540.0,260292898.0,531500694.0,531500694.0,888000000.0,-1.39,-4.82,-30.23,1520719143,1
hshare,Hshare,HSR,55,5.99694,0.00068083,19816200.0,256199925.0,42721776.0,42721776.0,84000000.0,-0.76,-5.32,-37.65,1520719153,1
golem-network-tokens,Golem,GNT,56,0.302969,0.00003440,4388120.0,252755524.0,834262000.0,1000000000.0,,-0.9,-1.84,-29.18,1520719147,1
pivx,PIVX,PIVX,57,4.47966,0.00050858,1009940.0,249670632.0,55734282.0,55734282.0,,-0.34,-0.3,-30.34,1520719146,1
dragonchain,Dragonchain,DRGN,58,1.04088,0.00011817,1574890.0,248168629.0,238421940.0,433494437.0,,-0.37,-6.45,-30.39,1520719156,1
digibyte,DigiByte,DGB,59,0.0246193,0.00000280,1378700.0,245064073.0,9954144631.0,9954144631.0,21000000000.0,-0.69,-1.38,-28.64,1520719141,1
gas,Gas,GAS,60,24.4062,0.00277083,3703120.0,241305386.0,9887053.0,16056462.0,100000000.0,-1.02,-2.82,-34.09,1520719151,1
monacoin,MonaCoin,MONA,61,4.14939,0.00047108,2111380.0,240559225.0,57974600.0,57974600.0,,1.07,-0.57,-23.3,1520719141,1
qash,QASH,QASH,62,0.634098,0.00007199,2769720.0,221934300.0,350000000.0,1000000000.0,,-2.57,-3.17,-22.07,1520719156,1
aion,Aion,AION,63,2.30328,0.00026149,1834620.0,221470283.0,96154303.0,465934587.0,,-0.79,-2.25,-27.1,1520719154,1
factom,Factom,FCT,64,25.2629,0.00286809,2234000.0,220926637.0,8745102.0,8745102.0,,-0.16,-0.16,-28.49,1520719145,1
ethos,Ethos,ETHOS,65,2.90214,0.00032948,3001320.0,220490558.0,75975162.0,222295208.0,,-0.71,-6.16,-43.64,1520719151,1
nebulas-token,Nebulas,NAS,66,5.87075,0.00066651,6915300.0,208411625.0,35500000.0,100000000.0,100000000.0,-1.07,3.31,-25.22,1520719152,1
loopring,Loopring,LRC,67,0.358969,0.00004075,3781880.0,205107633.0,571379793.0,1374956262.0,,-0.27,-6.93,-31.05,1520719152,1
funfair,FunFair,FUN,68,0.0432837,0.00000491,1202440.0,199324671.0,4605074689.0,10999873621.0,,-0.06,0.69,-31.47,1520719150,1
byteball,Byteball Bytes,GBYTE,69,294.559,0.0334413,3037960.0,190055963.0,645222.0,1000000.0,,-3.89,5.36,-31.76,1520719148,1
revain,Revain,R,70,1.01381,0.0001151,6029080.0,186997255.0,184450000.0,484450000.0,484450000.0,-1.57,-5.33,-40.16,1520719154,1
particl,Particl,PART,71,20.7377,0.00235435,267078.0,184407950.0,8892401.0,8892401.0,,0.58,-1.29,-28.23,1520719151,1
aelf,aelf,ELF,72,0.732982,0.00008322,8575890.0,183245500.0,250000000.0,280000000.0,1000000000.0,-0.96,-2.29,-41.69,1520719157,1
reddcoin,ReddCoin,RDD,73,0.00607629,0.00000069,2939610.0,174840091.0,28774151777.0,28774151777.0,,0.52,-0.55,-30.62,1520719141,1
zcoin,ZCoin,XZC,74,40.7516,0.00462652,1008860.0,174360228.0,4278611.0,4278611.0,21400000.0,-0.34,0.76,-24.15,1520719147,1
dentacoin,Dentacoin,DCN,75,0.000526768,0.00000006,481173.0,171318973.0,325226613094,1963173416169,8000000000000,-4.5,8.91,-17.16,1520719152,1
gxchain,GXChain,GXS,76,2.85393,0.00032401,4928670.0,171235800.0,60000000.0,100000000.0,100000000.0,-0.64,-1.03,-26.31,1520719150,1
kin,Kin,KIN,77,0.000222788,0.00000003,212930.0,168449463.0,756097560976,10000000000000,,-2.05,1.24,-18.64,1520719153,1
chainlink,ChainLink,LINK,78,0.472988,0.00005370,2537230.0,165545800.0,350000000.0,1000000000.0,,-0.38,1.18,-24.52,1520719154,1
salt,SALT,SALT,79,2.9535,0.00033531,3143630.0,164632697.0,55741560.0,120000000.0,,-1.18,-5.71,-33.26,1520719153,1
kyber-network,Kyber Network,KNC,80,1.21944,0.00013844,5181030.0,163566776.0,134132697.0,215625349.0,,-1.15,-4.08,-32.54,1520719153,1
nxt,Nxt,NXT,81,0.154132,0.00001750,2460810.0,153977859.0,998999942.0,998999942.0,1000000000.0,-0.52,-2.81,-21.1,1520719141,1
polymath-network,Polymath,POLY,82,0.632288,0.00007179,595276.0,151748962.0,239999750.0,1000000000.0,,-2.49,-1.63,-30.45,1520718859,1
smartcash,SmartCash,SMART,83,0.19234,0.00002184,176855.0,150050086.0,780129383.0,1381173662.0,5000000000.0,-0.17,-1.63,-21.89,1520719152,1
nexus,Nexus,NXS,84,2.6705,0.00030318,2664020.0,149728195.0,56067476.0,56067476.0,,0.03,-2.82,-9.41,1520719144,1
dent,Dent,DENT,85,0.0140633,0.00000160,921976.0,149278568.0,10614760961.0,100000000000,,-1.06,-6.52,-35.0,1520719152,1
bancor,Bancor,BNT,86,3.8072,0.00043223,3109310.0,148556695.0,39019935.0,74273838.0,,-1.42,-2.62,-23.25,1520719150,1
iostoken,IOStoken,IOST,87,0.017589,0.00000200,23041000.0,147747600.0,8400000000.0,21000000000.0,,-1.87,-4.09,-48.79,1520719158,1
emercoin,Emercoin,EMC,88,3.52524,0.00040022,803548.0,146199496.0,41472211.0,41472211.0,,-0.12,4.61,-4.96,1520719143,1
power-ledger,Power Ledger,POWR,89,0.400082,0.00004542,2531890.0,145602900.0,363932644.0,1000000000.0,,-1.06,-1.24,-34.32,1520719155,1
neblio,Neblio,NEBL,90,11.2,0.00127154,3597430.0,144392218.0,12892162.0,13643517.0,,-0.31,0.58,-33.9,1520719153,1
iconomi,Iconomi,ICN,91,1.44321,0.00016385,1648150.0,143939541.0,99735687.0,99735687.0,,-0.55,0.08,-30.45,1520719147,1
sirin-labs-token,SIRIN LABS Token,SRN,92,0.606779,0.00006889,9374210.0,139108958.0,229258029.0,573145073.0,,-1.16,-1.29,-1.24,1520719157,1
singularitynet,SingularityNET,AGI,93,0.265708,0.00003017,508284.0,138622531.0,521710040.0,1000000000.0,,-1.9,-6.91,-29.31,1520719158,1
storj,Storj,STORJ,94,1.01394,0.00011511,6481680.0,135285444.0,133425493.0,424999998.0,,0.6,8.2,0.63,1520719150,1
tenx,TenX,PAY,95,1.29117,0.00014659,1885190.0,135135544.0,104661310.0,205218256.0,,-0.89,0.34,-26.1,1520719151,1
bitcore,Bitcore,BTX,96,11.2014,0.0012717,1742850.0,134947242.0,12047355.0,16846788.0,21000000.0,-0.83,-2.22,-30.98,1520719149,1
request-network,Request Network,REQ,97,0.198396,0.00002252,1647780.0,131478417.0,662706996.0,999999999.0,,-0.85,-1.24,-31.13,1520719155,1
pillar,Pillar,PLR,98,0.576717,0.00006547,395289.0,131136680.0,227384800.0,800000000.0,,-0.82,9.57,-28.23,1520719151,1
maidsafecoin,MaidSafeCoin,MAID,99,0.287602,0.00003265,1377360.0,130154979.0,452552412.0,452552412.0,,-0.43,-3.46,-28.08,1520719142,1
enigma-project,Enigma,ENG,100,1.73032,0.00019644,3148310.0,129490524.0,74836171.0,150000000.0,,-0.95,-5.21,-36.24,1520719154,1
cindicator,Cindicator,CND,101,0.0863678,0.00000981,2165410.0,124885817.0,1445976590.0,2000000005.0,,-0.54,-0.28,-33.19,1520719154,1
blocknet,Blocknet,BLOCK,102,24.0583,0.00273134,513741.0,121464663.0,5048763.0,5048763.0,,-5.2,-9.31,-34.43,1520719143,1
genesis-vision,Genesis Vision,GVT,103,31.8119,0.0036116,7958420.0,118555981.0,3726781.0,4436644.0,,0.32,-4.39,-15.53,1520719156,1
paypie,PayPie,PPP,104,1.41535,0.00016068,343148.0,116766375.0,82500000.0,165000000.0,165000000.0,-0.14,22.47,10.81,1520719153,1
gnosis-gno,Gnosis,GNO,105,103.042,0.0116983,352888.0,113819163.0,1104590.0,10000000.0,,-0.96,-1.69,-27.3,1520719150,1
vertcoin,Vertcoin,VTC,106,2.57871,0.00029276,988302.0,111598704.0,43276950.0,43276950.0,84000000.0,-1.28,-3.46,-35.3,1520719143,1
bitcoindark,BitcoinDark,BTCD,107,84.7695,0.00962387,47424.3,109256203.0,1288862.0,1288862.0,,-1.25,2.68,-22.17,1520719143,1
gamecredits,GameCredits,GAME,108,1.64319,0.00018655,866887.0,105748071.0,64355352.0,64355352.0,84000000.0,-0.13,-3.25,-26.68,1520719143,1
minexcoin,MinexCoin,MNX,109,30.0888,0.00341598,290111.0,104083683.0,3459217.0,5770758.0,19000000.0,1.97,4.54,16.38,1520719155,1
