id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,9146.9,1.0,5807090000.0,154686308405,16911337.0,16911337.0,21000000.0,-1.4,2.95,-20.18,1520707766,1
ethereum,Ethereum,ETH,2,713.203,0.0782241,1627200000.0,69968792550.0,98105017.0,98105017.0,,-1.25,2.95,-17.13,1520707752,1
ripple,Ripple,XRP,3,0.812104,0.00008907,445006000.0,31746734409.0,39091956706.0,99992520283.0,100000000000,-0.77,-1.14,-10.57,1520707741,1
bitcoin-cash,Bitcoin Cash,BCH,4,1030.26,0.112999,407360000.0,17525302121.0,17010563.0,17010563.0,21000000.0,-1.19,6.01,-19.18,1520707751,1
litecoin,Litecoin,LTC,5,183.871,0.020167,707161000.0,10217461911.0,55568643.0,55568643.0,84000000.0,-0.85,1.87,-13.35,1520707741,1
neo,NEO,NEO,6,89.0978,0.00977223,134220000.0,5791357000.0,65000000.0,100000000.0,100000000.0,-1.37,0.36,-28.04,1520707747,1
cardano,Cardano,ADA,7,0.214963,0.00002358,146102000.0,5573360864.0,25927070538.0,31112483745.0,45000000000.0,-1.76,4.89,-27.53,1520707753,1
stellar,Stellar,XLM,8,0.299668,0.00003287,23472000.0,5543384324.0,18498419332.0,103748462367,,-1.7,1.95,-8.71,1520707742,1
eos,EOS,EOS,9,6.08368,0.00066726,321440000.0,4380247526.0,719999659.0,900000000.0,1000000000.0,-0.8,5.87,-24.48,1520707751,1
monero,Monero,XMR,10,274.632,0.0301216,84426300.0,4341827695.0,15809620.0,15809620.0,,-1.01,4.51,-22.43,1520707742,1
dash,Dash,DASH,11,496.074,0.0544094,98548600.0,3937874158.0,7938078.0,7938078.0,18900000.0,-1.07,7.52,-18.72,1520707741,1
iota,IOTA,MIOTA,12,1.35425,0.00014853,32453400.0,3764178886.0,2779530283.0,2779530283.0,2779530283.0,-2.06,4.45,-27.45,1520707750,1
nem,NEM,XEM,13,0.348266,0.00003820,24582600.0,3134394000.0,8999999999.0,8999999999.0,,-0.71,5.6,-10.18,1520707744,1
tron,TRON,TRX,14,0.0358525,0.00000393,269028000.0,2357237071.0,65748192475.0,100000000000,,-1.54,6.4,-26.61,1520707753,1
tether,Tether,USDT,15,1.0036,0.00011008,2340910000.0,2225122520.0,2217140814.0,2280109970.0,,-0.07,0.32,0.44,1520707745,1
ethereum-classic,Ethereum Classic,ETC,16,21.4814,0.00235608,279417000.0,2157036651.0,100414156.0,100414156.0,,-1.11,0.7,-27.2,1520707747,1
vechain,VeChain,VEN,17,3.6278,0.0003979,68286700.0,1745848188.0,481241576.0,873378637.0,,-2.8,5.53,-18.74,1520707753,1
lisk,Lisk,LSK,18,14.9554,0.0016403,19051800.0,1535566840.0,102676414.0,118893060.0,,-0.87,1.15,-20.79,1520707746,1
nano,Nano,NANO,19,11.3976,0.00125008,86591400.0,1518710701.0,133248289.0,133248289.0,133248290.0,-2.03,10.15,-24.09,1520707749,1
omisego,OmiseGO,OMG,20,13.8055,0.00151418,50812300.0,1408748448.0,102042552.0,140245398.0,,-3.61,2.09,-23.0,1520707751,1
qtum,Qtum,QTUM,21,18.8397,0.00206634,122433000.0,1392988729.0,73939008.0,100439008.0,,-1.35,1.63,-27.34,1520707750,1
bitcoin-gold,Bitcoin Gold,BTG,22,82.2945,0.00902605,20028900.0,1388525151.0,16872636.0,16972636.0,21000000.0,-2.36,1.09,-26.54,1520707754,1
zcash,Zcash,ZEC,23,301.151,0.0330302,57836600.0,1039108350.0,3450456.0,3450456.0,,-2.03,1.57,-23.04,1520707747,1
icon,ICON,ICX,24,2.59241,0.00028433,12808000.0,1001039715.0,386142514.0,400230000.0,,-3.61,5.99,-29.59,1520707754,1
binance-coin,Binance Coin,BNB,25,7.90004,0.00086648,44228700.0,782214561.0,99014000.0,197192382.0,,-1.59,2.85,-22.67,1520707752,1
digixdao,DigixDAO,DGD,26,347.944,0.0381624,21120900.0,695888000.0,2000000.0,2000000.0,,-2.08,6.83,-29.6,1520707746,1
