id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,9150.11,1.0,5755280000.0,154741051303,16911387.0,16911387.0,21000000.0,0.09,2.72,-20.14,1520711066,1
ethereum,Ethereum,ETH,2,711.751,0.0783652,1615700000.0,69826915512.0,98105820.0,98105820.0,,0.05,2.67,-17.23,1520711052,1
ripple,Ripple,XRP,3,0.815039,0.00008974,438675000.0,31861469302.0,39091956706.0,99992520283.0,100000000000,0.7,-0.88,-10.2,1520711041,1
bitcoin-cash,Bitcoin Cash,BCH,4,1030.28,0.113436,403548000.0,17525719604.0,17010638.0,17010638.0,21000000.0,0.4,5.28,-19.07,1520711052,1
litecoin,Litecoin,LTC,5,183.804,0.0202372,700479000.0,10213853689.0,55569268.0,55569268.0,84000000.0,0.27,1.08,-13.19,1520711041,1
neo,NEO,NEO,6,88.772,0.00977398,132581000.0,5770180000.0,65000000.0,100000000.0,100000000.0,-0.01,-0.11,-28.04,1520711047,1
cardano,Cardano,ADA,7,0.214518,0.00002362,146118000.0,5561823318.0,25927070538.0,31112483745.0,45000000000.0,-0.29,4.15,-27.58,1520711053,1
stellar,Stellar,XLM,8,0.298723,0.00003289,23302600.0,5525903318.0,18498419332.0,103748462367,,0.16,1.32,-9.52,1520711043,1
eos,EOS,EOS,9,6.07536,0.00066891,320816000.0,4374278243.0,720003135.0,900000000.0,1000000000.0,0.2,5.41,-24.41,1520711051,1
monero,Monero,XMR,10,274.127,0.0301819,83434200.0,4333870032.0,15809716.0,15809716.0,,0.13,3.77,-22.64,1520711042,1
dash,Dash,DASH,11,494.538,0.0544496,96895500.0,3925715125.0,7938147.0,7938147.0,18900000.0,0.07,6.72,-18.95,1520711041,1
iota,IOTA,MIOTA,12,1.34967,0.0001486,33149300.0,3751448637.0,2779530283.0,2779530283.0,2779530283.0,0.06,3.37,-27.6,1520711050,1
