id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,9153.8,1.0,5751540000.0,154803454321,16911387.0,16911387.0,21000000.0,0.07,2.62,-20.11,1520711666,1
ethereum,Ethereum,ETH,2,713.146,0.078494,1616100000.0,69963773131.0,98105820.0,98105820.0,,0.17,2.83,-17.05,1520711651,1
ripple,Ripple,XRP,3,0.815272,0.00008973,437545000.0,31870577728.0,39091956706.0,99992520283.0,100000000000,0.62,-0.85,-10.17,1520711641,1
bitcoin-cash,Bitcoin Cash,BCH,4,1032.0,0.113589,403831000.0,17554977900.0,17010638.0,17010638.0,21000000.0,0.45,5.25,-18.93,1520711651,1
litecoin,Litecoin,LTC,5,183.793,0.0202296,699373000.0,10213242427.0,55569268.0,55569268.0,84000000.0,0.06,0.83,-13.17,1520711640,1
neo,NEO,NEO,6,88.4735,0.00973804,132140000.0,5750777500.0,65000000.0,100000000.0,100000000.0,-0.48,-0.56,-28.24,1520711647,1
cardano,Cardano,ADA,7,0.213966,0.00002355,145768000.0,5547511575.0,25927070538.0,31112483745.0,45000000000.0,-0.5,3.66,-27.73,1520711654,1
stellar,Stellar,XLM,8,0.299157,0.00003293,23299600.0,5533931632.0,18498419332.0,103748462367,,0.12,1.33,-9.48,1520711643,1
eos,EOS,EOS,9,6.09821,0.00067121,321885000.0,4390730315.0,720003135.0,900000000.0,1000000000.0,0.42,5.61,-24.1,1520711651,1
monero,Monero,XMR,10,274.157,0.0301757,83622500.0,4334344323.0,15809716.0,15809716.0,,0.0,3.6,-22.66,1520711642,1
dash,Dash,DASH,11,495.493,0.0545376,96866800.0,3933296054.0,7938147.0,7938147.0,18900000.0,0.12,6.74,-18.79,1520711641,1
iota,IOTA,MIOTA,12,1.3426,0.00014778,33044300.0,3731797358.0,2779530283.0,2779530283.0,2779530283.0,-0.69,2.6,-27.96,1520711650,1
nem,NEM,XEM,13,0.347037,0.00003820,24131800.0,3123333000.0,8999999999.0,8999999999.0,,0.1,4.83,-10.01,1520711644,1
tron,TRON,TRX,14,0.0358156,0.00000394,268263000.0,2354810962.0,65748192475.0,100000000000,,0.22,5.8,-26.78,1520711653,1
tether,Tether,USDT,15,1.00256,0.00011035,2330070000.0,2222816694.0,2217140814.0,2280109970.0,,0.02,0.19,0.31,1520711645,1
ethereum-classic,Ethereum Classic,ETC,16,21.4163,0.00235723,277174000.0,2150519328.0,100415073.0,100415073.0,,-0.05,-0.25,-27.17,1520711647,1
vechain,VeChain,VEN,17,3.64953,0.00040169,68401400.0,1756305568.0,481241576.0,873378637.0,,0.59,5.23,-18.06,1520711655,1
lisk,Lisk,LSK,18,14.7581,0.00162438,18656200.0,1515330036.0,102677854.0,118894500.0,,-0.74,-0.57,-21.68,1520711646,1
nano,Nano,NANO,19,11.3673,0.00125117,85503400.0,1514673278.0,133248289.0,133248289.0,133248290.0,-0.03,8.11,-24.13,1520711649,1
omisego,OmiseGO,OMG,20,13.8496,0.00152439,50743200.0,1413248525.0,102042552.0,140245398.0,,0.59,1.14,-22.45,1520711651,1
bitcoin-gold,Bitcoin Gold,BTG,21,83.1944,0.00915698,20270800.0,1403712996.0,16872686.0,16972686.0,21000000.0,0.74,1.8,-25.65,1520711655,1
qtum,Qtum,QTUM,22,18.8218,0.00207167,122613000.0,1391666952.0,73939100.0,100439100.0,,0.63,1.06,-27.29,1520711650,1
zcash,Zcash,ZEC,23,299.591,0.0329752,55238600.0,1033826750.0,3450794.0,3450794.0,,-0.26,1.03,-23.26,1520711648,1
icon,ICON,ICX,24,2.58742,0.00028479,12617500.0,999112864.0,386142514.0,400230000.0,,0.18,5.85,-29.54,1520711655,1
binance-coin,Binance Coin,BNB,25,7.92901,0.00087272,45019300.0,785082996.0,99014000.0,197192382.0,,0.27,2.71,-22.26,1520711652,1
digixdao,DigixDAO,DGD,26,344.972,0.0379701,21180500.0,689944000.0,2000000.0,2000000.0,,-0.2,5.49,-31.16,1520711646,1
steem,Steem,STEEM,27,2.44828,0.00026948,3426120.0,617567305.0,252245374.0,269219468.0,,-0.9,1.17,-31.27,1520711646,1
bytecoin-bcn,Bytecoin,BCN,28,0.00329971,0.00000036,3929220.0,606401863.0,183774290141,183774290141,184470000000,-0.22,2.12,-22.36,1520711642,1
populous,Populous,PPT,29,16.3353,0.00179799,3413080.0,604471881.0,37004027.0,53252246.0,53252246.0,0.95,7.4,-21.54,1520711651,1
waves,Waves,WAVES,30,5.69124,0.00062642,19437200.0,569124000.0,100000000.0,100000000.0,,-0.12,0.28,-17.43,1520711646,1
verge,Verge,XVG,31,0.0376405,0.00000414,12297000.0,553145346.0,14695483485.0,14695483485.0,16555000000.0,-0.3,5.09,-33.7,1520711643,1
stratis,Stratis,STRAT,32,5.51011,0.00060648,4956600.0,544242200.0,98771567.0,98771567.0,,1.05,2.26,-33.32,1520711647,1
maker,Maker,MKR,33,816.582,0.089879,1465320.0,504833669.0,618228.0,1000000.0,,0.11,1.62,-18.55,1520711649,1
status,Status,SNT,34,0.140499,0.00001546,26368100.0,487599502.0,3470483788.0,6804870174.0,,-0.43,-0.42,-12.89,1520711651,1
rchain,RChain,RHOC,35,1.35131,0.00014873,923031.0,485673344.0,359409272.0,870663574.0,1000000000.0,-0.32,-5.72,-25.44,1520711653,1
dogecoin,Dogecoin,DOGE,36,0.00412235,0.00000045,10561200.0,468012043.0,113530399613,113530399613,,0.2,5.63,-23.22,1520711641,1
siacoin,Siacoin,SC,37,0.0134283,0.00000148,3059680.0,443345611.0,33015766029.0,33015766029.0,,0.17,3.24,-34.28,1520711645,1
bitshares,BitShares,BTS,38,0.169122,0.00001861,9011760.0,441482834.0,2610440000.0,2610440000.0,3600570502.0,1.27,4.81,-21.9,1520711642,1
decred,Decred,DCR,39,62.9423,0.00692789,620353.0,434790031.0,6907756.0,7327756.0,21000000.0,0.41,7.98,-21.81,1520711646,1
aeternity,Aeternity,AE,40,1.8164,0.00019993,2213900.0,423258386.0,233020472.0,273685830.0,,-0.31,0.03,-21.23,1520711650,1
waltonchain,Waltonchain,WTC,41,15.7477,0.0017333,8108470.0,392089038.0,24898178.0,70000000.0,100000000.0,-0.68,4.17,-18.36,1520711653,1
augur,Augur,REP,42,34.5133,0.00379879,2889410.0,379646300.0,11000000.0,11000000.0,,-0.67,-2.61,-26.87,1520711645,1
komodo,Komodo,KMD,43,3.43733,0.00037834,1305530.0,357254458.0,103933710.0,103933710.0,,1.46,9.2,-26.17,1520711648,1
bytom,Bytom,BTM,44,0.36154,0.00003979,18657400.0,356839980.0,987000000.0,1407000000.0,,0.61,5.09,-9.39,1520711651,1
0x,0x,ZRX,45,0.684896,0.00007538,7641630.0,354015609.0,516889584.0,1000000000.0,,1.48,15.46,-25.68,1520711652,1
veritaseum,Veritaseum,VERI,46,168.456,0.0185415,544616.0,343085144.0,2036645.0,100000000.0,,1.02,-1.72,-28.17,1520711650,1
electroneum,Electroneum,ETN,47,0.0516239,0.00000568,1011510.0,329647299.0,6385555887.0,6385555887.0,21000000000.0,0.02,5.18,-29.17,1520711655,1
ark,Ark,ARK,48,3.22608,0.00035508,955071.0,326309624.0,101147406.0,132397406.0,,0.25,3.77,-25.53,1520711649,1
zilliqa,Zilliqa,ZIL,49,0.0450428,0.00000496,22949700.0,297522421.0,6605326966.0,12600000000.0,,4.04,13.17,-3.22,1520711659,1
cryptonex,Cryptonex,CNX,50,6.54115,0.00071997,162825.0,295381508.0,45157428.0,106595053.0,210000000.0,-1.36,7.88,-16.74,1520711654,1
kucoin-shares,KuCoin Shares,KCS,51,3.20688,0.00035297,735990.0,291964220.0,91043076.0,181043076.0,,-1.58,7.76,-17.01,1520711654,1
ardor,Ardor,ARDR,52,0.291006,0.00003203,4438400.0,290714847.0,998999495.0,998999495.0,998999495.0,0.53,0.26,-30.99,1520711646,1
syscoin,Syscoin,SYS,53,0.513309,0.00005650,1320450.0,272822963.0,531498499.0,531498499.0,888000000.0,-0.1,2.38,-27.12,1520711642,1
basic-attention-token,Basic Attention Token,BAT,54,0.27031,0.00002975,4652510.0,270310000.0,1000000000.0,1500000000.0,,0.36,10.38,-28.85,1520711650,1
hshare,Hshare,HSR,55,6.1366,0.00067544,19975100.0,262164057.0,42721386.0,42721386.0,84000000.0,-0.51,-2.37,-36.53,1520711652,1
golem-network-tokens,Golem,GNT,56,0.313506,0.00003451,4450910.0,261546143.0,834262000.0,1000000000.0,,-0.55,4.84,-26.5,1520711647,1
dragonchain,Dragonchain,DRGN,57,1.07647,0.00011848,1646820.0,256654066.0,238421940.0,433494437.0,,-0.91,1.59,-28.55,1520711657,1
pivx,PIVX,PIVX,58,4.58967,0.00050517,1057620.0,255799075.0,55733653.0,55733653.0,,0.26,3.4,-28.53,1520711645,1
digibyte,DigiByte,DGB,59,0.0255694,0.00000281,1651630.0,254510405.0,9953710502.0,9953710502.0,21000000000.0,-0.34,2.93,-26.46,1520711641,1
gas,Gas,GAS,60,25.4706,0.00280348,3861050.0,251823789.0,9886842.0,16054628.0,100000000.0,-1.17,4.26,-31.73,1520711651,1
monacoin,MonaCoin,MONA,61,4.16329,0.00045824,2150830.0,241356641.0,57972575.0,57972575.0,,0.37,2.39,-23.11,1520711641,1
qash,QASH,QASH,62,0.663276,0.00007300,2772440.0,232146600.0,350000000.0,1000000000.0,,0.43,3.5,-18.48,1520711656,1
aion,Aion,AION,63,2.39499,0.00026361,1903850.0,230288594.0,96154303.0,465934587.0,,-1.0,2.67,-24.73,1520711654,1
factom,Factom,FCT,64,26.2851,0.00289312,2329860.0,229865881.0,8745102.0,8745102.0,,1.07,5.85,-26.04,1520711645,1
ethos,Ethos,ETHOS,65,3.02158,0.00033258,3056160.0,229565031.0,75975162.0,222295208.0,,-2.7,-0.86,-41.5,1520711651,1
loopring,Loopring,LRC,66,0.378396,0.00004165,3743040.0,216153558.0,571236371.0,1374956262.0,,0.68,-1.31,-27.53,1520711653,1
nebulas-token,Nebulas,NAS,67,6.07912,0.00066911,7279000.0,215808760.0,35500000.0,100000000.0,100000000.0,0.03,10.07,-22.84,1520711652,1
funfair,FunFair,FUN,68,0.04467,0.00000492,1296070.0,205708686.0,4605074689.0,10999873621.0,,-0.16,7.88,-29.32,1520711650,1
byteball,Byteball Bytes,GBYTE,69,314.745,0.0346431,3167810.0,203080415.0,645222.0,1000000.0,,-0.65,13.52,-27.21,1520711648,1
revain,Revain,R,70,1.05957,0.00011662,5932180.0,195437686.0,184450000.0,484450000.0,484450000.0,-0.29,1.3,-37.43,1520711655,1
particl,Particl,PART,71,21.4042,0.0023559,292077.0,190334736.0,8892401.0,8892401.0,,0.9,3.26,-25.72,1520711651,1
aelf,aelf,ELF,72,0.753159,0.00008290,8624240.0,188289750.0,250000000.0,280000000.0,1000000000.0,-0.51,2.39,-39.5,1520711657,1
dentacoin,Dentacoin,DCN,73,0.000566373,0.00000006,477614.0,184199573.0,325226613094,1963173416169,8000000000000,-1.74,22.92,-11.39,1520711651,1
zcoin,ZCoin,XZC,74,41.9738,0.00461994,1053040.0,179553859.0,4277760.0,4277760.0,21400000.0,1.79,6.87,-22.58,1520711647,1
reddcoin,ReddCoin,RDD,75,0.00622788,0.00000069,3176830.0,179201964.0,28774151777.0,28774151777.0,,-0.03,3.28,-28.84,1520711641,1
gxchain,GXChain,GXS,76,2.91654,0.00032102,5054980.0,174992400.0,60000000.0,100000000.0,100000000.0,-0.21,2.22,-24.98,1520711651,1
kin,Kin,KIN,77,0.000230535,0.00000003,228114.0,174306951.0,756097560976,10000000000000,,0.2,4.41,-16.75,1520711654,1
salt,SALT,SALT,78,3.07029,0.00033794,3227190.0,171142754.0,55741560.0,120000000.0,,0.69,0.26,-31.27,1520711654,1
chainlink,ChainLink,LINK,79,0.487909,0.00005370,2620170.0,170768150.0,350000000.0,1000000000.0,,-0.14,7.59,-22.67,1520711653,1
kyber-network,Kyber Network,KNC,80,1.26487,0.00013922,5322760.0,169660424.0,134132697.0,215625349.0,,-0.56,1.21,-29.98,1520711653,1
polymath-network,Polymath,POLY,81,0.669125,0.00007365,714271.0,160589833.0,239999750.0,1000000000.0,,0.44,11.45,-26.91,1520711659,1
nxt,Nxt,NXT,82,0.158961,0.00001750,2422590.0,158802030.0,998999942.0,998999942.0,1000000000.0,0.57,1.7,-18.99,1520711641,1
nexus,Nexus,NXS,83,2.78604,0.00030665,2885650.0,156201088.0,56065630.0,56065630.0,,0.12,6.06,-6.86,1520711643,1
dent,Dent,DENT,84,0.0146918,0.00000162,1088760.0,155949945.0,10614760961.0,100000000000,,1.06,0.63,-32.62,1520711652,1
iostoken,IOStoken,IOST,85,0.0185146,0.00000204,25048600.0,155522640.0,8400000000.0,21000000000.0,,-0.38,5.06,-46.21,1520711658,1
smartcash,SmartCash,SMART,86,0.198539,0.00002185,200519.0,154816826.0,779780426.0,1380824705.0,5000000000.0,2.84,4.08,-19.73,1520711651,1
bancor,Bancor,BNT,87,3.95184,0.00043497,3022320.0,154172754.0,39012904.0,74266807.0,,0.08,2.55,-20.56,1520711650,1
power-ledger,Power Ledger,POWR,88,0.419093,0.00004613,2551650.0,152521624.0,363932644.0,1000000000.0,,-0.23,5.9,-32.19,1520711654,1
neblio,Neblio,NEBL,89,11.685,0.00128614,3629660.0,150639771.0,12891722.0,13643061.0,,0.6,7.95,-31.44,1520711653,1
iconomi,Iconomi,ICN,90,1.49864,0.00016495,1686430.0,149467890.0,99735687.0,99735687.0,,-0.47,7.52,-29.55,1520711647,1
emercoin,Emercoin,EMC,91,3.54536,0.00039023,818416.0,147033350.0,41472051.0,41472051.0,,-1.37,7.86,-4.48,1520711643,1
sirin-labs-token,SIRIN LABS Token,SRN,92,0.633884,0.00006977,10154300.0,145322996.0,229258029.0,573145073.0,,-1.7,7.4,2.74,1520711657,1
singularitynet,SingularityNET,AGI,93,0.276461,0.00003043,542508.0,144232479.0,521710040.0,1000000000.0,,0.25,0.13,-26.68,1520711659,1
