id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,10111.0,1.0,8805210000.0,170937577100,16906100.0,16906100.0,21000000.0,0.98,-6.5,-3.89,1520462966,1
ethereum,Ethereum,ETH,2,761.398,0.0760645,2185020000.0,74652975986.0,98047245.0,98047245.0,,1.33,-7.0,-11.95,1520462952,1
ripple,Ripple,XRP,3,0.887707,0.00008868,842716000.0,34702203612.0,39091956706.0,99992520283.0,100000000000,1.08,-5.26,-2.75,1520462940,1
bitcoin-cash,Bitcoin Cash,BCH,4,1117.63,0.111652,455288000.0,19005563587.0,17005238.0,17005238.0,21000000.0,2.47,-7.5,-8.27,1520462953,1
litecoin,Litecoin,LTC,5,188.065,0.0187879,761316000.0,10442930826.0,55528306.0,55528306.0,84000000.0,1.44,-4.93,-8.82,1520462941,1
neo,NEO,NEO,6,102.549,0.0102448,292793000.0,6665685000.0,65000000.0,100000000.0,100000000.0,1.71,-2.75,-22.93,1520462947,1
cardano,Cardano,ADA,7,0.253521,0.00002533,194798000.0,6573056850.0,25927070538.0,31112483745.0,45000000000.0,1.08,-11.99,-18.73,1520462954,1
stellar,Stellar,XLM,8,0.328642,0.00003283,63034400.0,6069489738.0,18468393382.0,103748462367,,1.55,-3.86,-3.14,1520462943,1
monero,Monero,XMR,9,343.711,0.0343371,162022000.0,5430417951.0,15799372.0,15799372.0,,1.71,-0.79,18.97,1520462942,1
eos,EOS,EOS,10,6.61752,0.0006611,430464000.0,4727277429.0,714357860.0,900000000.0,1000000000.0,0.31,-9.07,-22.42,1520462951,1
iota,IOTA,MIOTA,11,1.54962,0.00015481,69222600.0,4307215717.0,2779530283.0,2779530283.0,2779530283.0,1.71,-9.14,-17.89,1520462950,1
dash,Dash,DASH,12,517.06,0.0516549,110582000.0,4101586891.0,7932516.0,7932516.0,18900000.0,0.43,-10.02,-12.53,1520462941,1
nem,NEM,XEM,13,0.302755,0.00003025,24475300.0,2724795000.0,8999999999.0,8999999999.0,,-0.79,-10.78,-25.32,1520462944,1
tron,TRON,TRX,14,0.0397267,0.00000397,291412000.0,2611958718.0,65748192475.0,100000000000,,1.74,-9.75,-9.42,1520462953,1
ethereum-classic,Ethereum Classic,ETC,15,22.4235,0.00224013,421892000.0,2250222667.0,100351090.0,100351090.0,,1.86,-11.8,-33.09,1520462947,1
tether,Tether,USDT,16,0.997397,0.00009964,3034140000.0,2211369596.0,2217140814.0,2280109970.0,,-0.21,-0.26,-0.29,1520462945,1
vechain,VeChain,VEN,17,4.1446,0.00041405,91574200.0,1976496190.0,476884667.0,873378637.0,,2.0,-13.4,-12.21,1520462952,1
lisk,Lisk,LSK,18,16.0248,0.0016009,34440700.0,1643800682.0,102578546.0,118795192.0,,0.92,-5.03,-13.9,1520462946,1
qtum,Qtum,QTUM,19,22.1225,0.00221006,113999000.0,1635566333.0,73932256.0,100432256.0,,0.64,-12.38,-16.42,1520462949,1
nano,Nano,NANO,20,12.1897,0.00121777,60982400.0,1624256671.0,133248289.0,133248289.0,133248290.0,1.41,-7.98,-17.48,1520462949,1
bitcoin-gold,Bitcoin Gold,BTG,21,93.1181,0.0093026,29126700.0,1570592598.0,16866674.0,16966674.0,21000000.0,1.64,-10.05,-18.2,1520462955,1
omisego,OmiseGO,OMG,22,14.7001,0.00146856,53004000.0,1500035715.0,102042552.0,140245398.0,,1.77,-7.25,-23.45,1520462951,1
zcash,Zcash,ZEC,23,347.796,0.0347452,58625000.0,1193072877.0,3430381.0,3430381.0,,0.12,-8.83,-10.57,1520462947,1
icon,ICON,ICX,24,3.04867,0.00030457,34413200.0,1176684061.0,385966359.0,400230000.0,,1.54,-11.21,-15.88,1520462954,1
binance-coin,Binance Coin,BNB,25,8.83712,0.00088284,77366900.0,874998600.0,99014000.0,197192382.0,,0.44,-5.66,-16.19,1520462951,1
digixdao,DigixDAO,DGD,26,425.806,0.0425385,42615900.0,851612000.0,2000000.0,2000000.0,,4.78,-11.83,-23.69,1520462946,1
steem,Steem,STEEM,27,2.8787,0.00028758,6583450.0,723108334.0,251192668.0,268166762.0,,1.16,-11.45,-12.48,1520462946,1
verge,Verge,XVG,28,0.0437406,0.00000437,23568500.0,642156977.0,14681028079.0,14681028079.0,16555000000.0,3.02,-11.48,-20.33,1520462943,1
populous,Populous,PPT,29,17.3528,0.00173357,2653600.0,642123478.0,37004027.0,53252246.0,53252246.0,1.07,-12.87,-7.35,1520462951,1
bytecoin-bcn,Bytecoin,BCN,30,0.00348285,0.00000035,2944720.0,640039497.0,183768895242,183768895242,184470000000,0.28,-12.32,-24.4,1520462942,1
waves,Waves,WAVES,31,6.27855,0.00062723,27298100.0,627855000.0,100000000.0,100000000.0,,1.49,1.4,-1.07,1520462946,1
stratis,Stratis,STRAT,32,6.32823,0.0006322,12209700.0,625025704.0,98767855.0,98767855.0,,1.39,-13.6,-14.76,1520462946,1
status,Status,SNT,33,0.164034,0.00001639,52738300.0,569277338.0,3470483788.0,6804870174.0,,0.6,-7.17,1.06,1520462951,1
rchain,RChain,RHOC,34,1.52619,0.00015247,816095.0,548526837.0,359409272.0,870663574.0,1000000000.0,0.45,-7.57,-14.89,1520462954,1
maker,Maker,MKR,35,845.083,0.0844247,824262.0,522453779.0,618228.0,1000000.0,,-2.88,-11.09,-18.7,1520462948,1
siacoin,Siacoin,SC,36,0.015655,0.00000156,12401300.0,515852210.0,32951275005.0,32951275005.0,,2.97,-12.82,-20.27,1520462945,1
bitshares,BitShares,BTS,37,0.182298,0.00001821,20620400.0,475826948.0,2610160000.0,2610160000.0,3600570502.0,2.76,-6.66,-19.35,1520462943,1
waltonchain,Waltonchain,WTC,38,18.9535,0.00189348,53317400.0,471907617.0,24898178.0,70000000.0,100000000.0,0.92,-22.54,-3.1,1520462953,1
dogecoin,Dogecoin,DOGE,39,0.00409548,0.00000041,17191700.0,464790689.0,113488697114,113488697114,,0.04,-11.84,-32.69,1520462943,1
decred,Decred,DCR,40,66.3159,0.00662503,1736130.0,456879291.0,6889438.0,7309438.0,21000000.0,2.54,-8.49,-11.89,1520462945,1
aeternity,Aeternity,AE,41,1.91424,0.00019123,4095780.0,446057109.0,233020472.0,273685830.0,,0.96,-10.14,-16.51,1520462949,1
augur,Augur,REP,42,40.1177,0.0040078,2546090.0,441294700.0,11000000.0,11000000.0,,2.18,-8.0,-12.4,1520462945,1
komodo,Komodo,KMD,43,3.69533,0.00036917,1974440.0,383771415.0,103853084.0,103853084.0,,1.46,-5.66,0.74,1520462948,1
bytom,Bytom,BTM,44,0.380406,0.00003800,14721600.0,375460722.0,987000000.0,1407000000.0,,2.1,-7.59,10.64,1520462951,1
0x,0x,ZRX,45,0.704299,0.00007036,7731390.0,364123365.0,517001110.0,1000000000.0,,0.68,-10.78,-24.17,1520462952,1
ark,Ark,ARK,46,3.56721,0.00035637,2573430.0,360593677.0,101085632.0,132335632.0,,3.99,-4.67,-0.71,1520462949,1
veritaseum,Veritaseum,VERI,47,176.761,0.0176586,1096580.0,359999485.0,2036645.0,100000000.0,,0.8,-8.37,-19.76,1520462950,1
electroneum,Electroneum,ETN,48,0.0565676,0.00000565,1670290.0,359672596.0,6358279218.0,6358279218.0,21000000000.0,0.7,-10.77,-19.39,1520462955,1
ardor,Ardor,ARDR,49,0.347613,0.00003473,3898490.0,347265211.0,998999495.0,998999495.0,998999495.0,0.18,-9.81,-9.83,1520462946,1
syscoin,Syscoin,SYS,50,0.602265,0.00006017,6730360.0,320063473.0,531432962.0,531432962.0,888000000.0,3.17,-5.27,-4.18,1520462942,1
golem-network-tokens,Golem,GNT,51,0.38334,0.00003830,6055620.0,319805995.0,834262000.0,1000000000.0,,1.81,-9.13,5.69,1520462947,1
basic-attention-token,Basic Attention Token,BAT,52,0.308102,0.00003078,4977420.0,308102000.0,1000000000.0,1500000000.0,,3.54,-8.96,-10.58,1520462950,1
cryptonex,Cryptonex,CNX,53,6.81998,0.00068132,193832.0,307937294.0,45152228.0,106589854.0,210000000.0,0.84,-6.88,-7.85,1520462953,1
dragonchain,Dragonchain,DRGN,54,1.28203,0.00012808,2086360.0,305664080.0,238421940.0,433494437.0,,1.68,-13.23,1.89,1520462956,1
ethos,Ethos,ETHOS,55,3.99622,0.00039923,2904700.0,303213841.0,75875162.0,222295208.0,,0.46,-6.17,0.69,1520462951,1
kucoin-shares,KuCoin Shares,KCS,56,3.21208,0.00032089,1132190.0,292437644.0,91043076.0,181043076.0,,1.44,-1.07,-23.45,1520462955,1
pivx,PIVX,PIVX,57,5.18228,0.00051772,3521180.0,288731786.0,55715204.0,55715204.0,,3.62,-7.55,-5.04,1520462945,1
digibyte,DigiByte,DGB,58,0.0280357,0.00000280,4275710.0,278685331.0,9940373564.0,9940373564.0,21000000000.0,3.42,-10.14,-15.23,1520462941,1
gas,Gas,GAS,59,27.9127,0.00278851,8385970.0,275512772.0,9870517.0,15974560.0,100000000.0,1.67,-9.31,-28.8,1520462950,1
zilliqa,Zilliqa,ZIL,60,0.0416992,0.00000417,14699700.0,275436850.0,6605326966.0,12600000000.0,,-1.19,-11.69,-15.29,1520462959,1
hshare,Hshare,HSR,61,6.37434,0.0006368,34151700.0,272246457.0,42709748.0,42709748.0,84000000.0,-0.07,-22.54,-31.83,1520462953,1
aion,Aion,AION,62,2.62446,0.00026219,3956590.0,252353122.0,96154303.0,465934587.0,,1.03,-9.67,-6.92,1520462953,1
monacoin,MonaCoin,MONA,63,4.34194,0.00043376,4757480.0,251427199.0,57906650.0,57906650.0,,-0.36,-13.93,-20.71,1520462941,1
factom,Factom,FCT,64,28.2933,0.00282653,2355110.0,247427794.0,8745102.0,8745102.0,,1.65,-5.53,-11.58,1520462945,1
qash,QASH,QASH,65,0.691824,0.00006911,5970270.0,242138400.0,350000000.0,1000000000.0,,2.27,-10.92,-14.86,1520462955,1
particl,Particl,PART,66,26.5658,0.00265396,696825.0,236233754.0,8892401.0,8892401.0,,2.31,-8.84,22.72,1520462952,1
loopring,Loopring,LRC,67,0.412986,0.00004126,2823740.0,234814193.0,568576642.0,1374956262.0,,1.09,-11.61,-26.78,1520462953,1
byteball,Byteball Bytes,GBYTE,68,363.618,0.0363258,1067390.0,234614352.0,645222.0,1000000.0,,-2.14,-13.31,-10.13,1520462948,1
funfair,FunFair,FUN,69,0.0505815,0.00000505,3268730.0,232931585.0,4605074689.0,10999873621.0,,2.9,-9.06,-2.23,1520462950,1
aelf,aelf,ELF,70,0.917638,0.00009167,16490600.0,229409500.0,250000000.0,280000000.0,1000000000.0,3.0,-17.28,-17.48,1520462957,1
