id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9864.53,1.0,8390610000.0,166769862554,16906012.0,16906012.0,21000000.0,0.5,-8.37,-6.48,1520455167
ethereum,Ethereum,ETH,2,742.779,0.075759,2094870000.0,72826181595.0,98045558.0,98045558.0,,0.45,-8.82,-14.31,1520455154
ripple,Ripple,XRP,3,0.853435,0.00008705,849617000.0,33362444071.0,39091956706.0,99992520283.0,100000000000,0.95,-9.05,-6.92,1520455141
bitcoin-cash,Bitcoin Cash,BCH,4,1085.98,0.110764,437289000.0,18467212073.0,17005113.0,17005113.0,21000000.0,0.08,-8.99,-11.07,1520455153
litecoin,Litecoin,LTC,5,181.837,0.0185462,724566000.0,10096868695.0,55527031.0,55527031.0,84000000.0,0.38,-7.33,-12.35,1520455141
neo,NEO,NEO,6,98.7013,0.0100669,274334000.0,6415584500.0,65000000.0,100000000.0,100000000.0,1.61,-5.86,-26.74,1520455147
cardano,Cardano,ADA,7,0.247098,0.00002520,184891000.0,6406527276.0,25927070538.0,31112483745.0,45000000000.0,0.62,-14.35,-21.59,1520455154
stellar,Stellar,XLM,8,0.316713,0.00003230,60021500.0,5849180115.0,18468392882.0,103748462367,,-0.03,-7.7,-7.45,1520455143
monero,Monero,XMR,9,335.315,0.0342002,154697000.0,5297669913.0,15799084.0,15799084.0,,1.45,-2.84,15.59,1520455142
eos,EOS,EOS,10,6.44801,0.00065766,422834000.0,4605268804.0,714215518.0,900000000.0,1000000000.0,0.9,-10.92,-24.93,1520455151
iota,IOTA,MIOTA,11,1.48023,0.00015097,64413500.0,4114344111.0,2779530283.0,2779530283.0,2779530283.0,-0.27,-12.45,-21.92,1520455150
dash,Dash,DASH,12,510.438,0.0520616,111448000.0,4048965814.0,7932336.0,7932336.0,18900000.0,-0.0,-10.59,-14.03,1520455141
nem,NEM,XEM,13,0.304868,0.00003109,23829800.0,2743812000.0,8999999999.0,8999999999.0,,5.45,-9.56,-25.25,1520455145
tron,TRON,TRX,14,0.0381432,0.00000389,275667000.0,2507846455.0,65748192475.0,100000000000,,2.25,-13.14,-12.9,1520455154
tether,Tether,USDT,15,1.00262,0.00010226,2928990000.0,2222949722.0,2217140814.0,2280109970.0,,0.12,0.26,0.25,1520455145
ethereum-classic,Ethereum Classic,ETC,16,21.8982,0.00223349,401085000.0,2197465494.0,100349138.0,100349138.0,,1.31,-14.23,-35.35,1520455148
vechain,VeChain,VEN,17,3.99093,0.00040705,87574400.0,1896576892.0,475221788.0,873378637.0,,-0.29,-14.39,-16.19,1520455153
nano,Nano,NANO,18,11.9343,0.00121722,59559300.0,1590225058.0,133248289.0,133248289.0,133248290.0,2.91,-8.33,-18.02,1520455149
lisk,Lisk,LSK,19,15.459,0.00157673,34131500.0,1585717281.0,102575670.0,118792316.0,,0.87,-6.95,-17.58,1520455147
qtum,Qtum,QTUM,20,21.3977,0.00218244,99924100.0,1581976040.0,73932060.0,100432060.0,,0.14,-15.2,-19.5,1520455150
bitcoin-gold,Bitcoin Gold,BTG,21,90.0663,0.00918623,28673100.0,1519112128.0,16866599.0,16966599.0,21000000.0,-0.02,-12.34,-21.34,1520455155
omisego,OmiseGO,OMG,22,14.2413,0.00145253,48318500.0,1453218592.0,102042552.0,140245398.0,,0.85,-9.41,-26.57,1520455151
zcash,Zcash,ZEC,23,342.685,0.0349519,55445700.0,1175300319.0,3429681.0,3429681.0,,0.31,-9.77,-12.0,1520455148
icon,ICON,ICX,24,2.95578,0.00030147,36259700.0,1140831646.0,385966359.0,400230000.0,,1.72,-12.22,-18.8,1520455155
binance-coin,Binance Coin,BNB,25,8.73321,0.00089074,74444600.0,864710055.0,99014000.0,197192382.0,,0.73,-5.77,-17.33,1520455152
digixdao,DigixDAO,DGD,26,407.481,0.0415606,42652900.0,814962000.0,2000000.0,2000000.0,,-0.56,-16.48,-26.73,1520455146
steem,Steem,STEEM,27,2.79414,0.00028499,6535340.0,701841932.0,251183524.0,268157618.0,,-2.15,-14.02,-15.64,1520455146
bytecoin-bcn,Bytecoin,BCN,28,0.00345407,0.00000035,2920850.0,634750020.0,183768719347,183768719347,184470000000,0.49,-12.2,-26.01,1520455143
populous,Populous,PPT,29,17.1197,0.00174611,2448520.0,633497839.0,37004027.0,53252246.0,53252246.0,1.6,-14.68,-9.23,1520455152
stratis,Stratis,STRAT,30,6.22648,0.00063506,10867200.0,614975390.0,98767745.0,98767745.0,,-0.81,-13.78,-16.79,1520455147
waves,Waves,WAVES,31,6.12766,0.00062498,25228600.0,612766000.0,100000000.0,100000000.0,,2.42,-0.85,-4.26,1520455147
