id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,__extra_
bitcoin,Bitcoin,BTC,1,10886.0,1.0,6738950000.0,184019393350,16904225.0,16904225.0,21000000.0,1.45,-4.77,0.79,1520383165,
ethereum,Ethereum,ETH,2,820.278,0.0757029,1887490000.0,80410544406.0,98028405.0,98028405.0,,0.8,-3.17,-7.11,1520383152,
ripple,Ripple,XRP,3,0.929978,0.00008583,870006000.0,36354659714.0,39091956706.0,99992520283.0,100000000000,1.22,-2.93,-2.15,1520383140,
bitcoin-cash,Bitcoin Cash,BCH,4,1210.66,0.111731,403094000.0,20585578376.0,17003600.0,17003600.0,21000000.0,0.75,-3.44,-3.48,1520383151,
litecoin,Litecoin,LTC,5,198.658,0.018334,658001000.0,11028301360.0,55514006.0,55514006.0,84000000.0,1.44,-4.84,-9.24,1520383141,
cardano,Cardano,ADA,6,0.286301,0.00002642,108973000.0,7422946222.0,25927070538.0,31112483745.0,45000000000.0,0.3,-2.98,-14.56,1520383153,
neo,NEO,NEO,7,108.034,0.00997039,202184000.0,7022210000.0,65000000.0,100000000.0,100000000.0,3.27,-2.85,-24.27,1520383147,
stellar,Stellar,XLM,8,0.340159,0.00003139,44409300.0,6282183863.0,18468374682.0,103748462367,,1.15,-4.22,-5.7,1520383143,
monero,Monero,XMR,9,351.802,0.0324676,92757900.0,5556987067.0,15795780.0,15795780.0,,2.14,-3.61,16.38,1520383142,
eos,EOS,EOS,10,7.34689,0.00067804,234211000.0,5233855526.0,712390620.0,900000000.0,1000000000.0,1.66,-7.7,-16.11,1520383151,
iota,IOTA,MIOTA,11,1.70175,0.00015705,62324800.0,4730065659.0,2779530283.0,2779530283.0,2779530283.0,1.06,-8.53,-15.15,1520383150,
dash,Dash,DASH,12,580.364,0.0535614,118469000.0,4602698832.0,7930710.0,7930710.0,18900000.0,0.95,-4.35,-5.98,1520383141,
nem,NEM,XEM,13,0.342273,0.00003159,25665000.0,3080457000.0,8999999999.0,8999999999.0,,1.47,-1.77,-16.15,1520383144,
tron,TRON,TRX,14,0.0444603,0.00000410,263632000.0,2923184362.0,65748192475.0,100000000000,,1.8,-3.65,3.98,1520383153,
ethereum-classic,Ethereum Classic,ETC,15,25.4122,0.00234527,384472000.0,2549611363.0,100330210.0,100330210.0,,1.61,-5.46,-29.72,1520383147,
vechain,VeChain,VEN,16,4.80724,0.00044366,111294000.0,2284333138.0,475185998.0,873378637.0,,0.92,3.94,-8.81,1520383152,
tether,Tether,USDT,17,1.00018,0.00009231,2460570000.0,2217539899.0,2217140814.0,2280109970.0,,0.07,0.15,0.02,1520383145,
qtum,Qtum,QTUM,18,25.3324,0.00233791,100001000.0,1872825447.0,73930044.0,100430044.0,,1.17,-3.98,-9.85,1520383150,
nano,Nano,NANO,19,13.822,0.00127562,59249000.0,1841757854.0,133248289.0,133248289.0,133248290.0,4.87,-4.67,-9.51,1520383148,
bitcoin-gold,Bitcoin Gold,BTG,20,103.851,0.00958433,25058000.0,1751435285.0,16864886.0,16964886.0,21000000.0,0.79,-5.63,-14.39,1520383154,
lisk,Lisk,LSK,21,16.9898,0.00156798,28028400.0,1742251082.0,102546886.0,118763532.0,,1.37,-6.95,-15.6,1520383146,
omisego,OmiseGO,OMG,22,15.9457,0.00147161,38345800.0,1627139918.0,102042552.0,140245398.0,,1.35,-6.5,-21.65,1520383151,
icon,ICON,ICX,23,3.43254,0.00031679,28997600.0,1324844968.0,385966359.0,400230000.0,,0.06,-2.3,-12.9,1520383154,
zcash,Zcash,ZEC,24,386.882,0.035705,57662500.0,1324555813.0,3423669.0,3423669.0,,1.52,-0.78,-5.93,1520383148,
digixdao,DigixDAO,DGD,25,480.065,0.0443049,66011100.0,960130000.0,2000000.0,2000000.0,,0.1,-4.65,-2.54,1520383146,
binance-coin,Binance Coin,BNB,26,9.47974,0.00087488,37685800.0,938626976.0,99014000.0,197192382.0,,1.51,-5.53,-12.47,1520383152,
steem,Steem,STEEM,27,3.25792,0.00030067,4603930.0,817950918.0,251065379.0,268039473.0,,0.77,-4.98,-6.88,1520383146,
verge,Verge,XVG,28,0.0501614,0.00000463,12555500.0,736232713.0,14677276016.0,14677276016.0,16555000000.0,2.82,-6.48,-16.85,1520383143,
populous,Populous,PPT,29,19.7844,0.00182589,2333260.0,732102470.0,37004027.0,53252246.0,53252246.0,0.44,-6.11,-9.09,1520383150,
stratis,Stratis,STRAT,30,7.41156,0.00068401,9783910.0,732015088.0,98766668.0,98766668.0,,1.61,-7.44,-5.67,1520383147,
bytecoin-bcn,Bytecoin,BCN,31,0.0039778,0.00000037,4439130.0,730989152.0,183767195982,183767195982,184470000000,0.39,-10.35,-21.8,1520383142,
waves,Waves,WAVES,32,6.26434,0.00057813,23755600.0,626434000.0,100000000.0,100000000.0,,1.92,-5.82,-5.25,1520383146,
status,Status,SNT,33,0.177085,0.00001634,63238200.0,614570622.0,3470483788.0,6804870174.0,,1.56,0.25,1.8,1520383151,
waltonchain,Waltonchain,WTC,34,24.6604,0.00227589,91879000.0,613999029.0,24898178.0,70000000.0,100000000.0,0.59,21.24,10.86,1520383152,
siacoin,Siacoin,SC,35,0.0179069,0.00000165,5769510.0,589690883.0,32930930705.0,32930930705.0,,0.92,-10.32,-18.32,1520383145,
maker,Maker,MKR,36,951.806,0.0878415,593082.0,588432901.0,618228.0,1000000.0,,0.62,-1.39,-10.32,1520383148,
rchain,RChain,RHOC,37,1.62443,0.00014992,1070920.0,583835204.0,359409272.0,870663574.0,1000000000.0,0.86,-4.31,-14.15,1520383154,
dogecoin,Dogecoin,DOGE,38,0.00468014,0.00000043,14747600.0,531078000.0,113474810483,113474810483,,2.06,-8.31,-26.24,1520383169,
