id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9848.09,1.0,8359840000.0,166491927717,16906012.0,16906012.0,21000000.0,0.11,-8.55,-6.62,1520455767
ethereum,Ethereum,ETH,2,741.14,0.0761438,2086930000.0,72665484925.0,98045558.0,98045558.0,,0.19,-9.07,-14.49,1520455753
ripple,Ripple,XRP,3,0.848198,0.00008714,846176000.0,33157719494.0,39091956706.0,99992520283.0,100000000000,-0.03,-9.7,-7.46,1520455741
bitcoin-cash,Bitcoin Cash,BCH,4,1077.45,0.110696,434739000.0,18322158463.0,17005113.0,17005113.0,21000000.0,-0.93,-9.77,-11.77,1520455752
litecoin,Litecoin,LTC,5,181.087,0.0186046,721725000.0,10055223422.0,55527031.0,55527031.0,84000000.0,-0.35,-7.79,-12.67,1520455741
neo,NEO,NEO,6,98.2924,0.0100984,273268000.0,6389006000.0,65000000.0,100000000.0,100000000.0,0.58,-6.31,-26.93,1520455747
cardano,Cardano,ADA,7,0.244732,0.00002514,183572000.0,6345183827.0,25927070538.0,31112483745.0,45000000000.0,-0.79,-15.19,-22.26,1520455754
stellar,Stellar,XLM,8,0.314422,0.00003230,59720600.0,5806869027.0,18468392882.0,103748462367,,-0.9,-8.39,-8.06,1520455743
monero,Monero,XMR,9,333.537,0.0342671,154003000.0,5269579141.0,15799084.0,15799084.0,,0.67,-3.4,15.03,1520455742
eos,EOS,EOS,10,6.41044,0.0006586,421093000.0,4578435727.0,714215518.0,900000000.0,1000000000.0,-0.04,-11.49,-25.32,1520455752
iota,IOTA,MIOTA,11,1.4813,0.00015219,64519600.0,4117318208.0,2779530283.0,2779530283.0,2779530283.0,-0.39,-12.46,-21.82,1520455750
dash,Dash,DASH,12,507.732,0.0521637,111049000.0,4027500912.0,7932336.0,7932336.0,18900000.0,-0.43,-11.04,-14.44,1520455742
nem,NEM,XEM,13,0.304647,0.00003130,24146600.0,2741823000.0,8999999999.0,8999999999.0,,4.2,-9.66,-25.29,1520455744
tron,TRON,TRX,14,0.0377911,0.00000388,274401000.0,2484696517.0,65748192475.0,100000000000,,1.27,-13.97,-13.75,1520455752
tether,Tether,USDT,15,1.00012,0.00010275,2931480000.0,2217406870.0,2217140814.0,2280109970.0,,0.01,0.01,-0.0,1520455744
ethereum-classic,Ethereum Classic,ETC,16,21.7494,0.0022345,399588000.0,2182533542.0,100349138.0,100349138.0,,0.29,-14.84,-35.76,1520455747
vechain,VeChain,VEN,17,3.95109,0.00040593,86635700.0,1877644056.0,475221788.0,873378637.0,,-1.01,-15.31,-16.95,1520455752
nano,Nano,NANO,18,11.8986,0.00122244,59268600.0,1585468094.0,133248289.0,133248289.0,133248290.0,2.18,-8.68,-18.36,1520455749
lisk,Lisk,LSK,19,15.367,0.00157879,33741700.0,1576280319.0,102575670.0,118792316.0,,0.17,-7.59,-18.04,1520455746
qtum,Qtum,QTUM,20,21.2226,0.00218038,100093000.0,1569030537.0,73932060.0,100432060.0,,-0.62,-15.91,-20.13,1520455750
bitcoin-gold,Bitcoin Gold,BTG,21,89.7837,0.00922426,28477400.0,1514345628.0,16866599.0,16966599.0,21000000.0,-0.58,-12.67,-21.56,1520455755
omisego,OmiseGO,OMG,22,14.1446,0.0014532,48157600.0,1443351078.0,102042552.0,140245398.0,,-0.04,-10.09,-27.03,1520455752
zcash,Zcash,ZEC,23,341.584,0.0350938,55217200.0,1171524240.0,3429681.0,3429681.0,,-0.27,-10.08,-12.28,1520455748
icon,ICON,ICX,24,2.92072,0.00030007,35611300.0,1127299665.0,385966359.0,400230000.0,,0.62,-13.38,-19.7,1520455755
binance-coin,Binance Coin,BNB,25,8.732,0.00089711,74224800.0,864590248.0,99014000.0,197192382.0,,0.39,-5.86,-17.34,1520455752
digixdao,DigixDAO,DGD,26,404.014,0.0415079,42275400.0,808028000.0,2000000.0,2000000.0,,-1.12,-17.13,-27.33,1520455746
steem,Steem,STEEM,27,2.78669,0.0002863,6511640.0,699970614.0,251183524.0,268157618.0,,-2.56,-14.26,-15.84,1520455746
populous,Populous,PPT,28,17.3159,0.00177901,2433730.0,640758029.0,37004027.0,53252246.0,53252246.0,2.62,-13.72,-8.11,1520455751
bytecoin-bcn,Bytecoin,BCN,29,0.00343353,0.00000035,2831860.0,630975411.0,183768719347,183768719347,184470000000,-0.22,-12.72,-26.39,1520455743
stratis,Stratis,STRAT,30,6.17765,0.00063468,10982000.0,610152561.0,98767745.0,98767745.0,,-1.48,-14.52,-17.4,1520455747
waves,Waves,WAVES,31,6.08235,0.00062489,25140600.0,608235000.0,100000000.0,100000000.0,,1.09,-1.62,-4.89,1520455747
verge,Verge,XVG,32,0.0410442,0.00000422,22303800.0,602556134.0,14680664602.0,14680664602.0,16555000000.0,0.11,-16.7,-25.55,1520455744
status,Status,SNT,33,0.162132,0.00001666,51521400.0,562676478.0,3470483788.0,6804870174.0,,-0.51,-8.33,-1.22,1520455751
maker,Maker,MKR,34,861.383,0.0884973,776505.0,532530891.0,618228.0,1000000.0,,-1.62,-9.28,-17.2,1520455748
rchain,RChain,RHOC,35,1.47258,0.00015129,822238.0,529258906.0,359409272.0,870663574.0,1000000000.0,-1.29,-10.61,-18.04,1520455755
siacoin,Siacoin,SC,36,0.0150465,0.00000155,11945500.0,495752306.0,32948014860.0,32948014860.0,,-0.81,-16.14,-23.72,1520455745
dogecoin,Dogecoin,DOGE,37,0.00405711,0.00000042,16246000.0,460436128.0,113488697114,113488697114,,-0.21,-12.22,-33.55,1520455741
waltonchain,Waltonchain,WTC,38,18.4246,0.00189292,55750800.0,458738970.0,24898178.0,70000000.0,100000000.0,-0.38,-23.09,-9.31,1520455753
bitshares,BitShares,BTS,39,0.175437,0.00001802,21358600.0,457916886.0,2610150000.0,2610150000.0,3600570502.0,0.25,-10.6,-22.16,1520455743
aeternity,Aeternity,AE,40,1.88844,0.00019401,4033210.0,440045180.0,233020472.0,273685830.0,,0.16,-11.43,-17.83,1520455751
decred,Decred,DCR,41,62.5537,0.00642669,1610820.0,430930368.0,6888967.0,7308967.0,21000000.0,-2.59,-13.53,-16.85,1520455746
augur,Augur,REP,42,38.4659,0.00395193,2093500.0,423124900.0,11000000.0,11000000.0,,-0.36,-11.5,-16.6,1520455746
bytom,Bytom,BTM,43,0.366402,0.00003764,14057100.0,361638774.0,987000000.0,1407000000.0,,-0.49,-10.73,6.4,1520455753
0x,0x,ZRX,44,0.690466,0.00007094,7604320.0,356828953.0,516794387.0,1000000000.0,,-0.92,-12.52,-26.35,1520455752
komodo,Komodo,KMD,45,3.41977,0.00035134,1588520.0,355153649.0,103853081.0,103853081.0,,1.79,-12.1,-7.78,1520455748
veritaseum,Veritaseum,VERI,46,173.105,0.0177846,996136.0,352553509.0,2036645.0,100000000.0,,-0.27,-7.34,-21.22,1520455751
electroneum,Electroneum,ETN,47,0.0546343,0.00000561,1665170.0,347335882.0,6357469239.0,6357469239.0,21000000000.0,-1.18,-12.56,-22.67,1520455756
ardor,Ardor,ARDR,48,0.341575,0.00003509,3762360.0,341233253.0,998999495.0,998999495.0,998999495.0,-1.12,-10.93,-12.45,1520455747
ark,Ark,ARK,49,3.30765,0.00033982,2526840.0,334349930.0,101083830.0,132333830.0,,-0.8,-11.51,-7.87,1520455749
cryptonex,Cryptonex,CNX,50,6.82087,0.00070077,188596.0,307976616.0,45152102.0,106589727.0,210000000.0,0.22,-8.89,-8.25,1520455754
golem-network-tokens,Golem,GNT,51,0.364656,0.00003746,6041420.0,304218644.0,834262000.0,1000000000.0,,1.27,-13.05,0.82,1520455748
syscoin,Syscoin,SYS,52,0.563367,0.00005788,6344040.0,299390725.0,531431066.0,531431066.0,888000000.0,-0.85,-11.39,-11.19,1520455743
ethos,Ethos,ETHOS,53,3.93373,0.00040415,2814500.0,298208082.0,75807969.0,222295208.0,,2.33,-7.32,-1.67,1520455751
dragonchain,Dragonchain,DRGN,54,1.23041,0.00012641,2038480.0,293356739.0,238421940.0,433494437.0,,-0.19,-12.46,-2.79,1520455756
basic-attention-token,Basic Attention Token,BAT,55,0.286971,0.00002948,4725520.0,286971000.0,1000000000.0,1500000000.0,,0.28,-14.95,-17.18,1520455750
kucoin-shares,KuCoin Shares,KCS,56,3.08008,0.00031644,1101850.0,280419958.0,91043076.0,181043076.0,,-0.11,-5.18,-26.72,1520455755
zilliqa,Zilliqa,ZIL,57,0.041852,0.00000430,14362000.0,276446144.0,6605326966.0,12600000000.0,,1.54,-12.24,-15.21,1520455760
pivx,PIVX,PIVX,58,4.93099,0.0005066,3333700.0,274728500.0,55714674.0,55714674.0,,0.25,-13.0,-9.94,1520455745
hshare,Hshare,HSR,59,6.34733,0.00065212,30389400.0,271090695.0,42709406.0,42709406.0,84000000.0,-1.2,-23.64,-32.45,1520455753
gas,Gas,GAS,60,27.3038,0.00280515,7953510.0,268558749.0,9835948.0,15847360.0,100000000.0,0.26,-9.85,-30.44,1520455751
digibyte,DigiByte,DGB,61,0.0263786,0.00000271,3950900.0,262203094.0,9939992805.0,9939992805.0,21000000000.0,-0.47,-14.87,-20.57,1520455741
monacoin,MonaCoin,MONA,62,4.32095,0.00044393,4319520.0,250204393.0,57904950.0,57904950.0,,-2.03,-14.04,-21.31,1520455741
aion,Aion,AION,63,2.54888,0.00026187,3892630.0,245085780.0,96154303.0,465934587.0,,0.66,-11.63,-10.24,1520455756
factom,Factom,FCT,64,27.1956,0.00279404,2197700.0,237828296.0,8745102.0,8745102.0,,-0.42,-14.37,-15.24,1520455745
qash,QASH,QASH,65,0.659948,0.00006780,5550040.0,230981800.0,350000000.0,1000000000.0,,0.14,-14.54,-18.87,1520455757
loopring,Loopring,LRC,66,0.404218,0.00004153,2986900.0,229701585.0,568261642.0,1374956262.0,,1.28,-14.34,-28.73,1520455752
particl,Particl,PART,67,25.7478,0.00264529,623539.0,228959770.0,8892401.0,8892401.0,,0.57,-10.68,21.48,1520455752
byteball,Byteball Bytes,GBYTE,68,354.07,0.0363767,1038870.0,228453772.0,645222.0,1000000.0,,0.67,-15.42,-12.43,1520455748
nebulas-token,Nebulas,NAS,69,6.30884,0.00064816,6425250.0,223963820.0,35500000.0,100000000.0,100000000.0,-0.29,-12.38,-23.64,1520455753
funfair,FunFair,FUN,70,0.0470999,0.00000484,2935210.0,216898557.0,4605074689.0,10999873621.0,,0.41,-15.91,-8.43,1520455751
aelf,aelf,ELF,71,0.86442,0.00008881,15718400.0,216105000.0,250000000.0,280000000.0,1000000000.0,-1.08,-22.42,-22.86,1520455757
