id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9855.43,1.0,8380590000.0,166615771459,16905987.0,16905987.0,21000000.0,0.46,-8.44,-6.6,1520453967
ethereum,Ethereum,ETH,2,742.77,0.0757174,2089400000.0,72825103233.0,98045294.0,98045294.0,,0.13,-8.82,-14.35,1520453952
ripple,Ripple,XRP,3,0.851349,0.00008679,847431000.0,33280898250.0,39091956706.0,99992520283.0,100000000000,0.69,-9.02,-7.18,1520453941
bitcoin-cash,Bitcoin Cash,BCH,4,1087.07,0.110815,437879000.0,18485706880.0,17005075.0,17005075.0,21000000.0,0.2,-8.8,-11.0,1520453952
litecoin,Litecoin,LTC,5,181.323,0.0184839,721113000.0,10068264339.0,55526681.0,55526681.0,84000000.0,0.28,-7.51,-12.68,1520453941
neo,NEO,NEO,6,98.6894,0.0100603,273820000.0,6414811000.0,65000000.0,100000000.0,100000000.0,1.58,-5.82,-26.88,1520453948
cardano,Cardano,ADA,7,0.247011,0.00002518,185220000.0,6404271621.0,25927070538.0,31112483745.0,45000000000.0,0.73,-14.35,-21.7,1520453954
stellar,Stellar,XLM,8,0.319111,0.00003253,60116200.0,5893467321.0,18468392882.0,103748462367,,0.56,-6.98,-6.84,1520453943
monero,Monero,XMR,9,334.15,0.0340629,153797000.0,5279248801.0,15799039.0,15799039.0,,0.78,-3.15,15.15,1520453942
eos,EOS,EOS,10,6.41283,0.00065372,420940000.0,4580142702.0,714215518.0,900000000.0,1000000000.0,0.17,-11.41,-25.38,1520453951
iota,IOTA,MIOTA,11,1.48112,0.00015098,65276000.0,4116817893.0,2779530283.0,2779530283.0,2779530283.0,-0.81,-12.28,-21.93,1520453950
dash,Dash,DASH,12,512.429,0.0522366,110724000.0,4064738786.0,7932297.0,7932297.0,18900000.0,0.3,-10.25,-13.74,1520453941
nem,NEM,XEM,13,0.29878,0.00003046,23416300.0,2689020000.0,8999999999.0,8999999999.0,,3.39,-11.33,-26.8,1520453944
tron,TRON,TRX,14,0.0377282,0.00000385,274389000.0,2480560955.0,65748192475.0,100000000000,,0.62,-14.09,-13.76,1520453953
tether,Tether,USDT,15,1.00479,0.00010243,2920540000.0,2227760918.0,2217140814.0,2280109970.0,,0.32,0.45,0.47,1520453945
ethereum-classic,Ethereum Classic,ETC,16,21.9482,0.00223738,400406000.0,2202475576.0,100348802.0,100348802.0,,1.57,-13.96,-35.32,1520453947
vechain,VeChain,VEN,17,4.0253,0.00041034,87023600.0,1912910265.0,475221788.0,873378637.0,,0.04,-13.59,-15.62,1520453953
nano,Nano,NANO,18,11.8935,0.00121241,59266800.0,1584788528.0,133248289.0,133248289.0,133248290.0,2.7,-8.55,-18.06,1520453949
qtum,Qtum,QTUM,19,21.3709,0.00217853,98054500.0,1579993892.0,73932024.0,100432024.0,,-0.18,-15.3,-19.64,1520453950
lisk,Lisk,LSK,20,15.3709,0.0015669,34131300.0,1576672986.0,102575190.0,118791836.0,,0.5,-7.3,-18.14,1520453946
bitcoin-gold,Bitcoin Gold,BTG,21,90.5039,0.00922589,28935100.0,1526473720.0,16866386.0,16966386.0,21000000.0,0.43,-11.86,-21.0,1520453955
omisego,OmiseGO,OMG,22,14.2062,0.00144816,48380400.0,1449636899.0,102042552.0,140245398.0,,0.54,-9.62,-26.82,1520453952
zcash,Zcash,ZEC,23,343.648,0.0350312,55682100.0,1178581624.0,3429619.0,3429619.0,,0.31,-9.58,-11.75,1520453948
icon,ICON,ICX,24,2.9156,0.00029721,36502700.0,1125323518.0,385966359.0,400230000.0,,0.08,-13.4,-19.96,1520453955
binance-coin,Binance Coin,BNB,25,8.69369,0.00088623,71871100.0,860797022.0,99014000.0,197192382.0,,-0.02,-6.15,-17.7,1520453952
digixdao,DigixDAO,DGD,26,409.684,0.0417628,43151400.0,819368000.0,2000000.0,2000000.0,,-0.57,-16.31,-26.38,1520453946
steem,Steem,STEEM,27,2.81014,0.00028646,5647210.0,705858303.0,251182611.0,268156705.0,,-0.61,-13.53,-15.18,1520453946
