id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9829.5,1.0,8305500000.0,166177281262,16905975.0,16905975.0,21000000.0,-0.28,-8.75,-6.87,1520452467
ethereum,Ethereum,ETH,2,737.426,0.0759352,2067610000.0,72300727948.0,98044723.0,98044723.0,,-1.0,-9.54,-14.99,1520452452
ripple,Ripple,XRP,3,0.848324,0.00008735,838718000.0,33162645081.0,39091956706.0,99992520283.0,100000000000,-0.53,-9.28,-7.54,1520452441
bitcoin-cash,Bitcoin Cash,BCH,4,1083.86,0.111608,436329000.0,18431120590.0,17005075.0,17005075.0,21000000.0,-0.51,-8.99,-11.27,1520452452
litecoin,Litecoin,LTC,5,181.359,0.0186752,719818000.0,10070195289.0,55526306.0,55526306.0,84000000.0,0.16,-7.45,-12.74,1520452441
cardano,Cardano,ADA,6,0.246544,0.00002539,184069000.0,6392163679.0,25927070538.0,31112483745.0,45000000000.0,-0.03,-14.58,-21.91,1520452454
neo,NEO,NEO,7,97.2756,0.0100168,269437000.0,6322914000.0,65000000.0,100000000.0,100000000.0,-1.05,-7.29,-28.12,1520452447
stellar,Stellar,XLM,8,0.316326,0.00003257,59737800.0,5842032847.0,18468392882.0,103748462367,,-1.89,-7.87,-7.73,1520452443
monero,Monero,XMR,9,330.447,0.0340272,151880000.0,5220701734.0,15798908.0,15798908.0,,-0.85,-4.25,13.83,1520452443
eos,EOS,EOS,10,6.39654,0.00065867,418697000.0,4568248377.0,714174910.0,900000000.0,1000000000.0,-0.43,-11.82,-25.61,1520452451
iota,IOTA,MIOTA,11,1.47502,0.00015189,63670000.0,4099862758.0,2779530283.0,2779530283.0,2779530283.0,-1.4,-12.55,-22.34,1520452450
dash,Dash,DASH,12,507.463,0.0522552,110632000.0,4025323233.0,7932250.0,7932250.0,18900000.0,-0.65,-11.15,-14.64,1520452442
nem,NEM,XEM,13,0.290016,0.00002986,22137600.0,2610144000.0,8999999999.0,8999999999.0,,-0.24,-13.94,-29.0,1520452444
tron,TRON,TRX,14,0.0370943,0.00000382,270400000.0,2438883176.0,65748192475.0,100000000000,,-1.6,-15.63,-15.09,1520452454
tether,Tether,USDT,15,0.99879,0.00010285,2912610000.0,2214458073.0,2217140814.0,2280109970.0,,-0.05,-0.17,-0.13,1520452445
ethereum-classic,Ethereum Classic,ETC,16,21.6312,0.00222744,392073000.0,2170651919.0,100348197.0,100348197.0,,-0.17,-15.15,-36.34,1520452447
vechain,VeChain,VEN,17,3.98524,0.00041037,85250000.0,1893872880.0,475221788.0,873378637.0,,-1.36,-14.58,-16.65,1520452453
qtum,Qtum,QTUM,18,21.3447,0.00219794,95694600.0,1578054994.0,73931936.0,100431936.0,,-1.09,-15.45,-19.77,1520452450
lisk,Lisk,LSK,19,15.3321,0.0015788,33974000.0,1572678350.0,102574230.0,118790876.0,,0.64,-7.57,-18.4,1520452446
nano,Nano,NANO,20,11.602,0.0011947,58422300.0,1545946652.0,133248289.0,133248289.0,133248290.0,-0.58,-10.89,-19.77,1520452449
bitcoin-gold,Bitcoin Gold,BTG,21,90.0424,0.00927196,28931500.0,1518689883.0,16866386.0,16966386.0,21000000.0,-0.35,-12.31,-21.46,1520452455
omisego,OmiseGO,OMG,22,14.0956,0.00145147,47982100.0,1438350993.0,102042552.0,140245398.0,,-0.24,-10.31,-27.48,1520452451
zcash,Zcash,ZEC,23,341.697,0.0351857,55117700.0,1171826370.0,3429431.0,3429431.0,,-0.99,-10.27,-12.25,1520452449
icon,ICON,ICX,24,2.89568,0.00029818,36290400.0,1117635068.0,385966359.0,400230000.0,,-1.13,-13.88,-20.59,1520452455
binance-coin,Binance Coin,BNB,25,8.61946,0.00088758,70958600.0,853447212.0,99014000.0,197192382.0,,-2.04,-6.9,-18.4,1520452452
digixdao,DigixDAO,DGD,26,404.063,0.0416078,42907300.0,808126000.0,2000000.0,2000000.0,,-1.91,-17.74,-27.49,1520452447
steem,Steem,STEEM,27,2.86946,0.00029548,6545860.0,720644290.0,251142825.0,268116919.0,,2.19,-11.7,-13.42,1520452447
bytecoin-bcn,Bytecoin,BCN,28,0.00341964,0.00000035,2856570.0,628422590.0,183768639380,183768639380,184470000000,-0.97,-13.5,-27.08,1520452443
populous,Populous,PPT,29,16.8034,0.00173031,2453370.0,621793466.0,37004027.0,53252246.0,53252246.0,0.53,-16.1,-11.45,1520452451
stratis,Stratis,STRAT,30,6.21923,0.00064041,10814900.0,614259013.0,98767695.0,98767695.0,,-1.03,-14.02,-17.04,1520452447
waves,Waves,WAVES,31,6.01881,0.00061978,24725500.0,601881000.0,100000000.0,100000000.0,,0.61,-2.72,-6.16,1520452446
verge,Verge,XVG,32,0.04086,0.00000421,22064200.0,599847160.0,14680547235.0,14680547235.0,16555000000.0,-1.48,-17.14,-25.99,1520452444
status,Status,SNT,33,0.162233,0.00001671,51014400.0,563026996.0,3470483788.0,6804870174.0,,-1.73,-7.97,-1.46,1520452451
maker,Maker,MKR,34,872.24,0.0898174,712051.0,539242990.0,618228.0,1000000.0,,-0.53,-8.48,-16.09,1520452449
rchain,RChain,RHOC,35,1.48335,0.00015275,850020.0,533129744.0,359409272.0,870663574.0,1000000000.0,-0.39,-9.28,-17.47,1520452455
siacoin,Siacoin,SC,36,0.0149906,0.00000154,12072600.0,493891892.0,32946772784.0,32946772784.0,,-1.95,-16.75,-24.15,1520452445
waltonchain,Waltonchain,WTC,37,18.4266,0.00189745,57994200.0,458788767.0,24898178.0,70000000.0,100000000.0,2.71,-23.56,-10.51,1520452452
dogecoin,Dogecoin,DOGE,38,0.00403868,0.00000042,16249400.0,458344531.0,113488697114,113488697114,,-0.74,-12.45,-33.91,1520452441
bitshares,BitShares,BTS,39,0.174795,0.00001800,21512300.0,456241169.0,2610150000.0,2610150000.0,3600570502.0,-0.21,-10.81,-22.23,1520452443
aeternity,Aeternity,AE,40,1.87988,0.00019358,4020010.0,438050525.0,233020472.0,273685830.0,,-0.31,-11.79,-18.31,1520452450
decred,Decred,DCR,41,63.348,0.00652315,1611300.0,436395578.0,6888861.0,7308861.0,21000000.0,-3.03,-13.47,-15.68,1520452446
augur,Augur,REP,42,38.3968,0.00395385,1979230.0,422364800.0,11000000.0,11000000.0,,-1.01,-11.78,-16.74,1520452446
bytom,Bytom,BTM,43,0.367646,0.00003786,14087300.0,362866602.0,987000000.0,1407000000.0,,-0.41,-10.39,6.7,1520452455
0x,0x,ZRX,44,0.69517,0.00007158,7488400.0,359259954.0,516794387.0,1000000000.0,,-0.49,-12.56,-26.15,1520452453
veritaseum,Veritaseum,VERI,45,173.949,0.0179122,1012230.0,354272438.0,2036645.0,100000000.0,,-0.95,-6.08,-20.62,1520452450
electroneum,Electroneum,ETN,46,0.0552333,0.00000569,1638000.0,351118462.0,6357006770.0,6357006770.0,21000000000.0,1.28,-11.98,-22.1,1520452456
komodo,Komodo,KMD,47,3.35683,0.00034566,1555150.0,348617137.0,103853081.0,103853081.0,,-1.56,-14.16,-9.74,1520452449
ardor,Ardor,ARDR,48,0.344585,0.00003548,3809490.0,344240241.0,998999495.0,998999495.0,998999495.0,0.06,-9.6,-11.92,1520452447
ark,Ark,ARK,49,3.33986,0.00034392,2550720.0,337602841.0,101082932.0,132332932.0,,0.02,-10.96,-6.91,1520452449
cryptonex,Cryptonex,CNX,50,6.80536,0.00070077,188171.0,307275937.0,45152047.0,106589673.0,210000000.0,2.54,-9.22,-8.44,1520452454
golem-network-tokens,Golem,GNT,51,0.359375,0.00003701,6089960.0,299812906.0,834262000.0,1000000000.0,,-0.8,-14.54,-0.44,1520452448
syscoin,Syscoin,SYS,52,0.562737,0.00005795,6304630.0,299055362.0,531430068.0,531430068.0,888000000.0,-0.26,-11.69,-11.58,1520452443
dragonchain,Dragonchain,DRGN,53,1.23457,0.00012713,2008040.0,294348574.0,238421940.0,433494437.0,,-0.22,-10.65,-2.86,1520452457
ethos,Ethos,ETHOS,54,3.83236,0.00039463,2780800.0,290523429.0,75807969.0,222295208.0,,1.09,-10.49,-4.5,1520452451
basic-attention-token,Basic Attention Token,BAT,55,0.28561,0.00002941,4633060.0,285610000.0,1000000000.0,1500000000.0,,-1.22,-15.51,-17.72,1520452450
kucoin-shares,KuCoin Shares,KCS,56,3.08445,0.00031762,1064670.0,280817816.0,91043076.0,181043076.0,,2.72,-5.6,-26.61,1520452455
zilliqa,Zilliqa,ZIL,57,0.0417136,0.00000430,14174600.0,275531967.0,6605326966.0,12600000000.0,,4.77,-12.66,-15.64,1520452459
hshare,Hshare,HSR,58,6.41414,0.00066049,31333300.0,273943043.0,42709240.0,42709240.0,84000000.0,-1.43,-22.86,-31.9,1520452453
pivx,PIVX,PIVX,59,4.90903,0.0005055,3461380.0,273503794.0,55714427.0,55714427.0,,-0.93,-13.33,-10.4,1520452446
gas,Gas,GAS,60,27.074,0.0027879,7853560.0,266298448.0,9835948.0,15847360.0,100000000.0,5.21,-10.31,-31.01,1520452451
digibyte,DigiByte,DGB,61,0.0264317,0.00000272,3887820.0,262725728.0,9939796849.0,9939796849.0,21000000000.0,-1.74,-14.42,-20.57,1520452441
monacoin,MonaCoin,MONA,62,4.37637,0.00045065,4319070.0,253409328.0,57904000.0,57904000.0,,-2.35,-13.03,-20.36,1520452442
aion,Aion,AION,63,2.51623,0.0002591,3801510.0,241946342.0,96154303.0,465934587.0,,-1.4,-12.64,-11.67,1520452456
