id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,9963.6,1.0,9073170000.0,168459437473,16907487.0,16907487.0,21000000.0,1.03,-5.66,-7.87,1520524466,1
ethereum,Ethereum,ETH,2,754.267,0.076096,2230790000.0,73964801479.0,98061829.0,98061829.0,,1.0,-2.9,-13.58,1520524453,1
ripple,Ripple,XRP,3,0.863074,0.00008707,753036000.0,33739251442.0,39091956706.0,99992520283.0,100000000000,0.42,-3.67,-7.05,1520524441,1
bitcoin-cash,Bitcoin Cash,BCH,4,1085.53,0.109516,503528000.0,18461160929.0,17006588.0,17006588.0,21000000.0,0.46,-6.1,-15.64,1520524451,1
litecoin,Litecoin,LTC,5,185.033,0.0186675,775169000.0,10276400830.0,55538206.0,55538206.0,84000000.0,1.56,-2.77,-12.66,1520524441,1
neo,NEO,NEO,6,97.9399,0.0098809,242677000.0,6366093500.0,65000000.0,100000000.0,100000000.0,1.02,-5.77,-24.53,1520524447,1
cardano,Cardano,ADA,7,0.237896,0.00002400,207631000.0,6167946373.0,25927070538.0,31112483745.0,45000000000.0,1.0,-9.02,-22.04,1520524454,1
stellar,Stellar,XLM,8,0.331843,0.00003348,62128500.0,6128607380.0,18468394332.0,103748462367,,2.59,-0.47,-2.58,1520524443,1
monero,Monero,XMR,9,314.649,0.0317442,152610000.0,4972088282.0,15802015.0,15802015.0,,1.43,-10.7,4.21,1520524442,1
eos,EOS,EOS,10,6.38,0.00064366,394968000.0,4559351918.0,714631962.0,900000000.0,1000000000.0,0.69,-6.6,-24.8,1520524451,1
iota,IOTA,MIOTA,11,1.48932,0.00015025,63376400.0,4139610041.0,2779530283.0,2779530283.0,2779530283.0,0.59,-5.06,-24.54,1520524450,1
dash,Dash,DASH,12,515.527,0.0520101,116098000.0,4090138872.0,7933898.0,7933898.0,18900000.0,1.08,-6.11,-15.07,1520524441,1
nem,NEM,XEM,13,0.357931,0.00003611,63898700.0,3221379000.0,8999999999.0,8999999999.0,,2.5,13.95,-12.02,1520524444,1
tron,TRON,TRX,14,0.0387186,0.00000391,297956000.0,2545677965.0,65748192475.0,100000000000,,1.74,-4.14,-14.93,1520524453,1
ethereum-classic,Ethereum Classic,ETC,15,24.2347,0.00244497,676307000.0,2432362778.0,100366944.0,100366944.0,,0.89,3.93,-28.45,1520524447,1
tether,Tether,USDT,16,1.00599,0.00010149,3225650000.0,2230421487.0,2217140814.0,2280109970.0,,-0.08,0.35,0.6,1520524445,1
vechain,VeChain,VEN,17,3.95169,0.00039868,107434000.0,1890843975.0,478489956.0,873378637.0,,1.13,-7.49,-22.31,1520524453,1
lisk,Lisk,LSK,18,16.3214,0.00164662,40465700.0,1674624766.0,102603010.0,118819656.0,,0.39,-0.12,-17.72,1520524445,1
qtum,Qtum,QTUM,19,21.4108,0.00216008,169984000.0,1582984117.0,73933908.0,100433908.0,,1.45,-7.8,-19.46,1520524450,1
nano,Nano,NANO,20,11.5124,0.00116146,49616200.0,1534007605.0,133248289.0,133248289.0,133248290.0,0.62,-8.0,-29.59,1520524450,1
