id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9868.84,1.0,8414690000.0,166842855761,16906025.0,16906025.0,21000000.0,0.09,-8.46,-6.37,1520456967
ethereum,Ethereum,ETH,2,741.887,0.0755975,2094510000.0,72738919424.0,98045820.0,98045820.0,,0.01,-9.1,-14.37,1520456953
ripple,Ripple,XRP,3,0.853546,0.00008698,852498000.0,33366783279.0,39091956706.0,99992520283.0,100000000000,0.16,-9.3,-6.8,1520456942
bitcoin-cash,Bitcoin Cash,BCH,4,1077.09,0.109755,435713000.0,18316050086.0,17005125.0,17005125.0,21000000.0,-0.91,-10.09,-11.76,1520456952
litecoin,Litecoin,LTC,5,182.019,0.0185476,723147000.0,10107015569.0,55527256.0,55527256.0,84000000.0,0.11,-7.54,-12.12,1520456941
neo,NEO,NEO,6,98.9724,0.0100852,274962000.0,6433206000.0,65000000.0,100000000.0,100000000.0,0.27,-5.85,-26.26,1520456949
cardano,Cardano,ADA,7,0.246507,0.00002512,185332000.0,6391204377.0,25927070538.0,31112483745.0,45000000000.0,-0.35,-14.62,-21.59,1520456954
stellar,Stellar,XLM,8,0.317702,0.00003237,60489800.0,5867445355.0,18468392882.0,103748462367,,-0.18,-7.54,-6.98,1520456944
monero,Monero,XMR,9,333.746,0.0340084,154471000.0,5272896317.0,15799130.0,15799130.0,,0.21,-3.45,15.18,1520456943
eos,EOS,EOS,10,6.42933,0.00065514,420764000.0,4591993142.0,714225766.0,900000000.0,1000000000.0,0.09,-11.35,-25.04,1520456951
iota,IOTA,MIOTA,11,1.4913,0.00015196,64995000.0,4145113511.0,2779530283.0,2779530283.0,2779530283.0,-0.05,-12.16,-21.2,1520456952
dash,Dash,DASH,12,510.27,0.051996,111628000.0,4047649727.0,7932369.0,7932369.0,18900000.0,-0.06,-10.5,-13.97,1520456942
nem,NEM,XEM,13,0.304157,0.00003099,24241500.0,2737413000.0,8999999999.0,8999999999.0,,1.85,-9.92,-25.32,1520456945
tron,TRON,TRX,14,0.03822,0.00000389,277553000.0,2512895916.0,65748192475.0,100000000000,,1.71,-13.06,-12.83,1520456954
tether,Tether,USDT,15,1.00175,0.00010208,2933080000.0,2221020810.0,2217140814.0,2280109970.0,,0.09,0.17,0.16,1520456946
ethereum-classic,Ethereum Classic,ETC,16,21.8014,0.00222155,401291000.0,2187758608.0,100349455.0,100349455.0,,-0.17,-14.7,-35.46,1520456947
vechain,VeChain,VEN,17,3.99682,0.00040727,87985400.0,1906022174.0,476884667.0,873378637.0,,-0.35,-14.67,-15.81,1520456955
lisk,Lisk,LSK,18,15.5359,0.00158309,34256900.0,1593612807.0,102576150.0,118792796.0,,1.06,-6.89,-17.01,1520456947
qtum,Qtum,QTUM,19,21.305,0.00217096,101605000.0,1575123135.0,73932088.0,100432088.0,,-0.41,-15.63,-19.77,1520456950
nano,Nano,NANO,20,11.8123,0.00120366,59575400.0,1573968767.0,133248289.0,133248289.0,133248290.0,0.22,-9.58,-19.11,1520456949
bitcoin-gold,Bitcoin Gold,BTG,21,90.3514,0.00920672,28586200.0,1523920796.0,16866599.0,16966599.0,21000000.0,-0.05,-12.31,-20.99,1520456956
omisego,OmiseGO,OMG,22,14.1926,0.00144621,48619900.0,1448249120.0,102042552.0,140245398.0,,-0.12,-9.98,-26.65,1520456953
zcash,Zcash,ZEC,23,342.907,0.0349419,55552800.0,1176100285.0,3429794.0,3429794.0,,-0.01,-9.76,-11.91,1520456948
icon,ICON,ICX,24,2.97106,0.00030275,34678100.0,1146729212.0,385966359.0,400230000.0,,1.99,-12.3,-18.23,1520456956
binance-coin,Binance Coin,BNB,25,8.71952,0.00088851,74477500.0,863354553.0,99014000.0,197192382.0,,0.0,-6.2,-17.41,1520456953
digixdao,DigixDAO,DGD,26,402.949,0.0410601,42230600.0,805898000.0,2000000.0,2000000.0,,-1.13,-17.22,-27.5,1520456947
steem,Steem,STEEM,27,2.79073,0.00028437,6554690.0,700987932.0,251184433.0,268158527.0,,-1.35,-14.22,-15.64,1520456947
bytecoin-bcn,Bytecoin,BCN,28,0.003463,0.00000035,2844860.0,636391177.0,183768748666,183768748666,184470000000,0.76,-12.11,-25.62,1520456943
populous,Populous,PPT,29,17.1453,0.00174709,2455340.0,634445142.0,37004027.0,53252246.0,53252246.0,1.05,-14.46,-8.86,1520456952
stratis,Stratis,STRAT,30,6.21843,0.00063365,11009400.0,614180434.0,98767765.0,98767765.0,,-0.7,-14.22,-16.74,1520456948
waves,Waves,WAVES,31,6.12896,0.00062453,25985300.0,612896000.0,100000000.0,100000000.0,,0.76,-0.91,-4.01,1520456948
verge,Verge,XVG,32,0.0414497,0.00000422,22531000.0,608512053.0,14680734799.0,14680734799.0,16555000000.0,0.5,-15.99,-24.76,1520456944
