id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,10597.2,1.0,7107960000.0,179146460790,16905075.0,16905075.0,21000000.0,0.52,-4.98,-1.06,1520418866
ethereum,Ethereum,ETH,2,786.151,0.0742919,1898070000.0,77071619916.0,98036662.0,98036662.0,,0.47,-6.54,-10.04,1520418852
ripple,Ripple,XRP,3,0.907616,0.00008577,769416000.0,35480485378.0,39091956706.0,99992520283.0,100000000000,0.36,-5.29,-2.19,1520418841
bitcoin-cash,Bitcoin Cash,BCH,4,1162.65,0.109871,437140000.0,19770223793.0,17004450.0,17004450.0,21000000.0,0.61,-5.85,-5.75,1520418852
litecoin,Litecoin,LTC,5,191.109,0.0180599,662986000.0,10610430117.0,55520306.0,55520306.0,84000000.0,0.54,-6.83,-10.37,1520418841
cardano,Cardano,ADA,6,0.267814,0.00002531,121342000.0,6943632469.0,25927070538.0,31112483745.0,45000000000.0,0.46,-9.13,-16.63,1520418853
neo,NEO,NEO,7,106.571,0.0100711,234061000.0,6927115000.0,65000000.0,100000000.0,100000000.0,0.47,-2.49,-22.2,1520418848
stellar,Stellar,XLM,8,0.327482,0.00003095,36074400.0,6048062537.0,18468381582.0,103748462367,,0.38,-8.07,-6.05,1520418843
monero,Monero,XMR,9,345.987,0.032696,100358000.0,5465736165.0,15797519.0,15797519.0,,1.14,-3.98,16.95,1520418842
eos,EOS,EOS,10,6.97442,0.00065909,337283000.0,4970316757.0,712649476.0,900000000.0,1000000000.0,0.93,-10.2,-20.74,1520418851
iota,IOTA,MIOTA,11,1.67837,0.00015861,68098400.0,4665080241.0,2779530283.0,2779530283.0,2779530283.0,1.36,-7.97,-13.62,1520418850
dash,Dash,DASH,12,559.12,0.0528373,121435000.0,4434643875.0,7931471.0,7931471.0,18900000.0,0.33,-5.26,-7.2,1520418841
nem,NEM,XEM,13,0.320988,0.00003033,21106400.0,2888892000.0,8999999999.0,8999999999.0,,-1.0,-7.98,-21.38,1520418844
tron,TRON,TRX,14,0.0428692,0.00000405,240461000.0,2818572413.0,65748192475.0,100000000000,,0.49,-6.42,1.6,1520418853
ethereum-classic,Ethereum Classic,ETC,15,23.8139,0.00225043,395915000.0,2389471914.0,100339378.0,100339378.0,,1.01,-8.72,-31.44,1520418847
tether,Tether,USDT,16,1.00204,0.00009469,2582200000.0,2221663781.0,2217140814.0,2280109970.0,,0.02,0.12,0.14,1520418845
vechain,VeChain,VEN,17,4.50499,0.00042573,152212000.0,2140869405.0,475221788.0,873378637.0,,0.11,1.36,-10.47,1520418853
qtum,Qtum,QTUM,18,23.476,0.0022185,140936000.0,1735604156.0,73931000.0,100431000.0,,0.47,-9.4,-13.47,1520418850
nano,Nano,NANO,19,12.7251,0.00120253,61037300.0,1695597805.0,133248289.0,133248289.0,133248290.0,0.2,-7.0,-11.11,1520418849
lisk,Lisk,LSK,20,16.203,0.0015312,28721400.0,1661792608.0,102560798.0,118777444.0,,-0.44,-9.13,-15.71,1520418846
bitcoin-gold,Bitcoin Gold,BTG,21,98.4374,0.00930241,27809600.0,1660200753.0,16865549.0,16965549.0,21000000.0,-0.56,-7.07,-15.81,1520418854
omisego,OmiseGO,OMG,22,15.8448,0.00149734,45817600.0,1616843824.0,102042552.0,140245398.0,,0.57,-4.74,-21.03,1520418851
zcash,Zcash,ZEC,23,365.565,0.0345462,65921500.0,1252651883.0,3426619.0,3426619.0,,0.21,-5.41,-8.41,1520418848
icon,ICON,ICX,24,3.22769,0.00030502,31187700.0,1245779759.0,385966359.0,400230000.0,,0.64,-6.29,-14.12,1520418857
digixdao,DigixDAO,DGD,25,480.931,0.0454484,60409400.0,961862000.0,2000000.0,2000000.0,,-0.39,-4.11,-12.03,1520418846
binance-coin,Binance Coin,BNB,26,9.42096,0.00089029,44937100.0,932806933.0,99014000.0,197192382.0,,0.32,-3.8,-11.79,1520418851
steem,Steem,STEEM,27,3.06848,0.00028997,5579890.0,770491452.0,251098737.0,268072831.0,,0.7,-9.15,-9.26,1520418846
