id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,__extra_
bitcoin,Bitcoin,BTC,1,10597.2,1.0,7096610000.0,179144468516,16904887.0,16904887.0,21000000.0,0.03,-6.45,-1.56,1520410165,
ethereum,Ethereum,ETH,2,788.788,0.0745936,1892090000.0,77328672047.0,98034798.0,98034798.0,,-0.17,-7.09,-10.05,1520410152,
ripple,Ripple,XRP,3,0.911272,0.00008618,876951000.0,35623405571.0,39091956706.0,99992520283.0,100000000000,0.56,-6.42,-2.45,1520410141,
bitcoin-cash,Bitcoin Cash,BCH,4,1167.86,0.110442,433964000.0,19858568807.0,17004238.0,17004238.0,21000000.0,0.13,-6.55,-5.91,1520410152,
litecoin,Litecoin,LTC,5,192.857,0.0182379,669181000.0,10707156576.0,55518631.0,55518631.0,84000000.0,0.46,-7.14,-10.49,1520410141,
neo,NEO,NEO,6,108.223,0.0102344,235204000.0,7034495000.0,65000000.0,100000000.0,100000000.0,1.46,-4.14,-21.7,1520410147,
cardano,Cardano,ADA,7,0.268609,0.00002540,120818000.0,6964244490.0,25927070538.0,31112483745.0,45000000000.0,-1.09,-10.36,-17.31,1520410154,
stellar,Stellar,XLM,8,0.327463,0.00003097,39026500.0,6047709575.0,18468375282.0,103748462367,,-0.23,-9.46,-6.91,1520410143,
monero,Monero,XMR,9,345.625,0.0326848,103683000.0,5459858527.0,15797059.0,15797059.0,,0.57,-5.22,16.11,1520410142,
eos,EOS,EOS,10,6.94743,0.000657,312736000.0,4950989373.0,712636093.0,900000000.0,1000000000.0,-0.18,-12.25,-21.22,1520410151,
iota,IOTA,MIOTA,11,1.64007,0.0001551,64390100.0,4558624231.0,2779530283.0,2779530283.0,2779530283.0,1.95,-12.9,-16.18,1520410150,
dash,Dash,DASH,12,558.482,0.0528142,123276000.0,4429491037.0,7931305.0,7931305.0,18900000.0,0.61,-6.58,-7.85,1520410142,
nem,NEM,XEM,13,0.326399,0.00003087,22492700.0,2937591000.0,8999999999.0,8999999999.0,,-0.33,-8.18,-20.57,1520410144,
tron,TRON,TRX,14,0.0428885,0.00000406,243472000.0,2819841353.0,65748192475.0,100000000000,,-0.04,-8.44,1.38,1520410153,
ethereum-classic,Ethereum Classic,ETC,15,23.9297,0.00226297,398112000.0,2401037133.0,100337118.0,100337118.0,,0.75,-11.14,-31.66,1520410147,
tether,Tether,USDT,16,0.9988,0.00009445,2607590000.0,2214480245.0,2217140814.0,2280109970.0,,-0.4,-0.09,-0.19,1520410145,
vechain,VeChain,VEN,17,4.65257,0.00043998,139378000.0,2211002636.0,475221788.0,873378637.0,,-2.08,1.64,-9.07,1520410152,
qtum,Qtum,QTUM,18,23.5677,0.00222873,131337000.0,1742378350.0,73930776.0,100430776.0,,-1.16,-10.84,-14.01,1520410150,
