id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9857.76,1.0,8376560000.0,166655537004,16906025.0,16906025.0,21000000.0,0.09,-8.5,-6.49,1520456367
ethereum,Ethereum,ETH,2,741.355,0.0760155,2092040000.0,72686759048.0,98045820.0,98045820.0,,0.17,-9.1,-14.44,1520456353
ripple,Ripple,XRP,3,0.850875,0.00008725,849680000.0,33262368662.0,39091956706.0,99992520283.0,100000000000,-0.01,-9.54,-7.12,1520456341
bitcoin-cash,Bitcoin Cash,BCH,4,1076.72,0.110403,434460000.0,18309758190.0,17005125.0,17005125.0,21000000.0,-0.99,-9.96,-11.81,1520456352
litecoin,Litecoin,LTC,5,181.342,0.018594,722436000.0,10069423617.0,55527256.0,55527256.0,84000000.0,-0.31,-7.76,-12.49,1520456341
neo,NEO,NEO,6,98.3762,0.0100871,273799000.0,6394453000.0,65000000.0,100000000.0,100000000.0,0.08,-6.32,-26.81,1520456348
cardano,Cardano,ADA,7,0.244079,0.00002503,183460000.0,6328253450.0,25927070538.0,31112483745.0,45000000000.0,-1.27,-15.45,-22.42,1520456355
stellar,Stellar,XLM,8,0.315478,0.00003235,60076100.0,5826371650.0,18468392882.0,103748462367,,-0.7,-8.13,-7.71,1520456343
monero,Monero,XMR,9,333.782,0.0342246,154394000.0,5273465086.0,15799130.0,15799130.0,,0.49,-3.37,15.14,1520456342
eos,EOS,EOS,10,6.41874,0.00065815,420753000.0,4584429492.0,714225766.0,900000000.0,1000000000.0,0.01,-11.42,-25.2,1520456351
iota,IOTA,MIOTA,11,1.48416,0.00015218,64624000.0,4125267665.0,2779530283.0,2779530283.0,2779530283.0,-0.65,-12.46,-21.63,1520456351
dash,Dash,DASH,12,507.693,0.0520567,111121000.0,4027208013.0,7932369.0,7932369.0,18900000.0,-0.5,-11.03,-14.43,1520456341
nem,NEM,XEM,13,0.302938,0.00003106,24161200.0,2726442000.0,8999999999.0,8999999999.0,,2.34,-10.22,-25.67,1520456345
tron,TRON,TRX,14,0.0379242,0.00000389,275488000.0,2493447601.0,65748192475.0,100000000000,,1.2,-13.69,-13.47,1520456354
tether,Tether,USDT,15,1.00028,0.00010256,2931770000.0,2217761613.0,2217140814.0,2280109970.0,,0.03,0.02,0.01,1520456345
