id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,__extra_
bitcoin,Bitcoin,BTC,1,10875.7,1.0,6780330000.0,183845279832,16904225.0,16904225.0,21000000.0,1.37,-4.93,0.75,1520382566,
ethereum,Ethereum,ETH,2,819.872,0.0756912,1902310000.0,80370507982.0,98028117.0,98028117.0,,0.63,-3.31,-7.14,1520382552,
ripple,Ripple,XRP,3,0.926607,0.00008555,872638000.0,36222880727.0,39091956706.0,99992520283.0,100000000000,0.79,-3.29,-2.51,1520382541,
bitcoin-cash,Bitcoin Cash,BCH,4,1209.54,0.111666,403743000.0,20566504106.0,17003575.0,17003575.0,21000000.0,0.62,-3.63,-3.55,1520382551,
litecoin,Litecoin,LTC,5,198.475,0.0183234,659497000.0,11018092678.0,55513756.0,55513756.0,84000000.0,1.27,-5.06,-9.31,1520382541,
cardano,Cardano,ADA,6,0.285472,0.00002636,109960000.0,7401452681.0,25927070538.0,31112483745.0,45000000000.0,-0.29,-3.38,-14.81,1520382553,
neo,NEO,NEO,7,108.212,0.00999019,206658000.0,7033780000.0,65000000.0,100000000.0,100000000.0,3.33,-2.74,-24.17,1520382547,
stellar,Stellar,XLM,8,0.340021,0.00003139,44642800.0,6279635228.0,18468374682.0,103748462367,,0.57,-4.27,-5.75,1520382543,
monero,Monero,XMR,9,351.605,0.0324604,92753900.0,5553853967.0,15795720.0,15795720.0,,2.0,-3.89,16.35,1520382542,
eos,EOS,EOS,10,7.31454,0.00067528,234280000.0,5210634401.0,712366656.0,900000000.0,1000000000.0,1.12,-8.2,-16.37,1520382551,
iota,IOTA,MIOTA,11,1.70154,0.00015709,62144400.0,4729481958.0,2779530283.0,2779530283.0,2779530283.0,0.82,-8.6,-15.15,1520382550,
dash,Dash,DASH,12,580.615,0.0536028,118613000.0,4604670613.0,7930678.0,7930678.0,18900000.0,1.04,-4.42,-5.94,1520382542,
nem,NEM,XEM,13,0.341343,0.00003151,25929200.0,3072087000.0,8999999999.0,8999999999.0,,1.03,-2.2,-16.33,1520382544,
tron,TRON,TRX,14,0.0443305,0.00000409,263209000.0,2914650247.0,65748192475.0,100000000000,,1.39,-4.15,3.74,1520382553,
ethereum-classic,Ethereum Classic,ETC,15,25.3326,0.00233873,384660000.0,2541618694.0,100329958.0,100329958.0,,0.92,-5.75,-29.96,1520382547,
vechain,VeChain,VEN,16,4.78977,0.0004422,110872000.0,2276031639.0,475185998.0,873378637.0,,0.45,3.47,-9.14,1520382552,
tether,Tether,USDT,17,0.999804,0.00009230,2471750000.0,2216706254.0,2217140814.0,2280109970.0,,-0.05,0.12,-0.01,1520382545,
qtum,Qtum,QTUM,18,25.299,0.00233563,99922100.0,1870355070.0,73930000.0,100430000.0,,0.79,-4.24,-9.97,1520382550,
nano,Nano,NANO,19,13.8484,0.0012785,59004400.0,1845275608.0,133248289.0,133248289.0,133248290.0,5.02,-4.72,-9.37,1520382548,
bitcoin-gold,Bitcoin Gold,BTG,20,103.576,0.00956221,25054200.0,1746797442.0,16864886.0,16964886.0,21000000.0,0.28,-6.0,-14.63,1520382554,
lisk,Lisk,LSK,21,17.0242,0.00157169,28090900.0,1745770523.0,102546406.0,118763052.0,,1.51,-6.89,-15.43,1520382546,
omisego,OmiseGO,OMG,22,15.9081,0.00146864,38378000.0,1623303118.0,102042552.0,140245398.0,,1.11,-6.78,-21.82,1520382551,
icon,ICON,ICX,23,3.44553,0.00031809,29087900.0,1329858671.0,385966359.0,400230000.0,,0.32,-2.09,-12.58,1520382554,
zcash,Zcash,ZEC,24,386.996,0.0357278,57730400.0,1324931599.0,3423631.0,3423631.0,,1.63,-0.83,-5.9,1520382548,
digixdao,DigixDAO,DGD,25,475.789,0.0439252,67982000.0,951578000.0,2000000.0,2000000.0,,-1.09,-5.29,-3.3,1520382546,
binance-coin,Binance Coin,BNB,26,9.46149,0.00087349,37787000.0,936819971.0,99014000.0,197192382.0,,1.35,-5.78,-12.62,1520382552,
steem,Steem,STEEM,27,3.26086,0.00030105,4641420.0,818686078.0,251064467.0,268038561.0,,0.58,-5.03,-6.79,1520382546,
verge,Verge,XVG,28,0.0500147,0.00000462,12580900.0,734075669.0,14677198275.0,14677198275.0,16555000000.0,2.19,-6.93,-17.06,1520382543,
populous,Populous,PPT,29,19.7645,0.00182468,2375720.0,731366090.0,37004027.0,53252246.0,53252246.0,0.33,-6.2,-9.18,1520382551,
stratis,Stratis,STRAT,30,7.40354,0.0006835,9916480.0,731222846.0,98766650.0,98766650.0,,1.42,-7.72,-5.75,1520382547,
bytecoin-bcn,Bytecoin,BCN,31,0.00396234,0.00000037,4416340.0,728147995.0,183767166598,183767166598,184470000000,-0.25,-10.92,-22.07,1520382542,
waves,Waves,WAVES,32,6.24396,0.00057645,23748400.0,624396000.0,100000000.0,100000000.0,,1.44,-6.27,-5.56,1520382547,
waltonchain,Waltonchain,WTC,33,24.9795,0.00230613,91492600.0,621944037.0,24898178.0,70000000.0,100000000.0,1.89,22.73,12.34,1520382552,
status,Status,SNT,34,0.179107,0.00001654,64276600.0,621587940.0,3470483788.0,6804870174.0,,2.34,1.46,2.96,1520382550,
siacoin,Siacoin,SC,35,0.0179688,0.00000166,5868160.0,591718141.0,32930309235.0,32930309235.0,,1.09,-10.17,-18.0,1520382545,
maker,Maker,MKR,36,954.471,0.0881175,600461.0,590080478.0,618228.0,1000000.0,,0.88,-1.13,-10.05,1520382550,
rchain,RChain,RHOC,37,1.62537,0.00015006,1090120.0,584173049.0,359409272.0,870663574.0,1000000000.0,0.32,-4.27,-14.12,1520382554,
dogecoin,Dogecoin,DOGE,38,0.0046467,0.00000043,14800700.0,527283402.0,113474810483,113474810483,,1.07,-9.16,-26.78,1520382541,
decred,Decred,DCR,39,75.0306,0.00692688,969357.0,516501639.0,6883880.0,7303880.0,21000000.0,4.19,-7.27,-4.67,1520382545,
bitshares,BitShares,BTS,40,0.193194,0.00001784,19282500.0,504249864.0,2610070000.0,2610070000.0,3600570502.0,1.42,-9.18,-13.48,1520382543,
aeternity,Aeternity,AE,41,2.13711,0.0001973,2988900.0,497990381.0,233020472.0,273685830.0,,0.68,-7.03,-14.27,1520382550,
augur,Augur,REP,42,43.6899,0.00403349,1770960.0,480588900.0,11000000.0,11000000.0,,0.69,-5.1,-11.0,1520382545,
bytom,Bytom,BTM,43,0.41303,0.00003813,18911500.0,407660610.0,987000000.0,1407000000.0,,1.08,-8.44,17.96,1520382555,
0x,0x,ZRX,44,0.788201,0.00007277,6533660.0,407349832.0,516809585.0,1000000000.0,,0.65,-10.45,-21.46,1520382552,
komodo,Komodo,KMD,45,3.90767,0.00036076,1524530.0,405816314.0,103851224.0,103851224.0,,0.27,-7.99,0.69,1520382548,
electroneum,Electroneum,ETN,46,0.06349,0.00000586,2708570.0,403119844.0,6349343890.0,6349343890.0,21000000000.0,0.52,-14.9,-19.49,1520382555,
veritaseum,Veritaseum,VERI,47,194.081,0.0179177,815123.0,395274184.0,2036645.0,100000000.0,,-0.22,-2.36,-20.29,1520382551,
ardor,Ardor,ARDR,48,0.386377,0.00003567,2698570.0,385990428.0,998999495.0,998999495.0,998999495.0,1.09,-3.46,-8.32,1520382547,
ark,Ark,ARK,49,3.81098,0.00035183,3053780.0,385164270.0,101066988.0,132316988.0,,2.87,-4.82,0.01,1520382549,
dragonchain,Dragonchain,DRGN,50,1.48951,0.00013751,2883840.0,355131864.0,238421940.0,433494437.0,,1.62,-10.91,9.65,1520382556,
golem-network-tokens,Golem,GNT,51,0.424979,0.00003923,7969930.0,354543830.0,834262000.0,1000000000.0,,1.0,-10.35,15.68,1520382549,
hshare,Hshare,HSR,52,8.24799,0.00076146,30630900.0,352238456.0,42705975.0,42705975.0,84000000.0,1.08,-7.92,-17.68,1520382553,
syscoin,Syscoin,SYS,53,0.642672,0.00005933,1334180.0,341523479.0,531411792.0,531411792.0,888000000.0,2.11,-6.18,-2.32,1520382543,
basic-attention-token,Basic Attention Token,BAT,54,0.340256,0.00003141,3158340.0,340256000.0,1000000000.0,1500000000.0,,1.06,-8.7,-7.52,1520382550,
ethos,Ethos,ETHOS,55,4.31706,0.00039855,3671760.0,327267551.0,75807969.0,222295208.0,,2.23,-3.65,6.06,1520382551,
cryptonex,Cryptonex,CNX,56,7.14425,0.00065956,208992.0,322568684.0,45150811.0,106588437.0,210000000.0,1.19,-7.97,-7.6,1520382553,
pivx,PIVX,PIVX,57,5.64465,0.00052112,2149180.0,314458779.0,55709172.0,55709172.0,,1.43,-5.06,-1.92,1520382546,
gas,Gas,GAS,58,31.8525,0.00294065,3418670.0,313683281.0,9847996.0,15909568.0,100000000.0,3.43,-3.61,-25.45,1520382551,
digibyte,DigiByte,DGB,59,0.0315602,0.00000291,2717870.0,313584800.0,9936084045.0,9936084045.0,21000000000.0,2.34,-7.53,-13.6,1520382541,
zilliqa,Zilliqa,ZIL,60,0.0472953,0.00000437,21796700.0,310932595.0,6574281061.0,12600000000.0,,0.7,-9.64,-9.0,1520382559,
kucoin-shares,KuCoin Shares,KCS,61,3.2711,0.00030199,1033910.0,297811006.0,91043076.0,181043076.0,,1.29,-11.09,-26.4,1520382555,
monacoin,MonaCoin,MONA,62,5.05979,0.00046712,2918240.0,292888853.0,57885575.0,57885575.0,,0.69,-4.79,-9.49,1520382542,
aion,Aion,AION,63,2.93951,0.00027138,2433280.0,282646535.0,96154303.0,465934587.0,,1.77,-7.58,-3.35,1520382554,
aelf,aelf,ELF,64,1.10451,0.00010197,15892800.0,276127500.0,250000000.0,280000000.0,1000000000.0,0.37,-6.81,-6.98,1520382557,
