id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9833.7,1.0,8375870000.0,166248650204,16906012.0,16906012.0,21000000.0,-0.11,-8.69,-6.74,1520456067
ethereum,Ethereum,ETH,2,740.993,0.0759681,2091440000.0,72651072228.0,98045558.0,98045558.0,,0.12,-9.1,-14.5,1520456053
ripple,Ripple,XRP,3,0.85095,0.00008724,849700000.0,33265300559.0,39091956706.0,99992520283.0,100000000000,0.16,-9.41,-7.14,1520456041
bitcoin-cash,Bitcoin Cash,BCH,4,1077.33,0.11045,434732000.0,18320117850.0,17005113.0,17005113.0,21000000.0,-0.94,-9.81,-11.76,1520456052
litecoin,Litecoin,LTC,5,181.408,0.0185983,723201000.0,10073047599.0,55527031.0,55527031.0,84000000.0,-0.22,-7.65,-12.5,1520456040
neo,NEO,NEO,6,98.3732,0.0100854,273611000.0,6394258000.0,65000000.0,100000000.0,100000000.0,0.41,-6.27,-26.85,1520456047
cardano,Cardano,ADA,7,0.244718,0.00002509,183834000.0,6344820848.0,25927070538.0,31112483745.0,45000000000.0,-0.9,-15.2,-22.26,1520456054
stellar,Stellar,XLM,8,0.315808,0.00003238,59966200.0,5832466219.0,18468392882.0,103748462367,,-0.56,-8.0,-7.62,1520456043
monero,Monero,XMR,9,334.365,0.0342798,154577000.0,5282660783.0,15799084.0,15799084.0,,0.77,-3.18,15.32,1520456042
eos,EOS,EOS,10,6.41611,0.00065779,421464000.0,4582485329.0,714215518.0,900000000.0,1000000000.0,0.02,-11.42,-25.25,1520456051
iota,IOTA,MIOTA,11,1.4836,0.0001521,64619300.0,4123711128.0,2779530283.0,2779530283.0,2779530283.0,-0.52,-12.34,-21.67,1520456051
dash,Dash,DASH,12,507.905,0.0520715,111255000.0,4028873206.0,7932336.0,7932336.0,18900000.0,-0.43,-11.01,-14.4,1520456041
nem,NEM,XEM,13,0.302298,0.00003099,24008500.0,2720682000.0,8999999999.0,8999999999.0,,3.16,-10.36,-25.85,1520456044
tron,TRON,TRX,14,0.0378239,0.00000388,274983000.0,2486853057.0,65748192475.0,100000000000,,1.14,-13.91,-13.68,1520456054
tether,Tether,USDT,15,1.00003,0.00010253,2935280000.0,2217207328.0,2217140814.0,2280109970.0,,-0.03,-0.0,-0.01,1520456044
ethereum-classic,Ethereum Classic,ETC,16,21.7631,0.0022312,400262000.0,2183908325.0,100349138.0,100349138.0,,0.18,-14.8,-35.66,1520456047
vechain,VeChain,VEN,17,3.96857,0.00040687,87174700.0,1885950933.0,475221788.0,873378637.0,,-0.74,-14.97,-16.52,1520456053
nano,Nano,NANO,18,11.9337,0.00122347,59452000.0,1590145109.0,133248289.0,133248289.0,133248290.0,2.03,-8.44,-18.16,1520456049
lisk,Lisk,LSK,19,15.3897,0.00157779,33827000.0,1578608787.0,102575670.0,118792316.0,,0.18,-7.48,-17.9,1520456047
qtum,Qtum,QTUM,20,21.2133,0.00217483,100576000.0,1568342968.0,73932060.0,100432060.0,,-0.85,-15.95,-20.16,1520456050
bitcoin-gold,Bitcoin Gold,BTG,21,89.9705,0.00922395,28526700.0,1517496308.0,16866599.0,16966599.0,21000000.0,-0.36,-12.51,-21.38,1520456055
omisego,OmiseGO,OMG,22,14.1373,0.00144939,48230900.0,1442606167.0,102042552.0,140245398.0,,-0.24,-10.17,-27.03,1520456052
zcash,Zcash,ZEC,23,342.134,0.0350763,55414100.0,1173410565.0,3429681.0,3429681.0,,-0.12,-9.94,-12.13,1520456048
icon,ICON,ICX,24,2.94246,0.00030167,35637100.0,1135690574.0,385966359.0,400230000.0,,1.33,-12.75,-19.1,1520456055
binance-coin,Binance Coin,BNB,25,8.69598,0.00089153,74324300.0,861023764.0,99014000.0,197192382.0,,-0.09,-6.26,-17.66,1520456054
digixdao,DigixDAO,DGD,26,404.929,0.0415141,42406900.0,809858000.0,2000000.0,2000000.0,,-0.84,-16.93,-27.16,1520456046
steem,Steem,STEEM,27,2.78133,0.00028515,6507210.0,698624271.0,251183524.0,268157618.0,,-2.73,-14.44,-15.98,1520456046
populous,Populous,PPT,28,17.2709,0.00177064,2440590.0,639092848.0,37004027.0,53252246.0,53252246.0,2.2,-13.97,-8.27,1520456053
bytecoin-bcn,Bytecoin,BCN,29,0.0034296,0.00000035,2854020.0,630253300.0,183768748666,183768748666,184470000000,-0.23,-12.86,-26.42,1520456342
stratis,Stratis,STRAT,30,6.19297,0.00063492,10969000.0,611665683.0,98767745.0,98767745.0,,-1.25,-14.32,-17.17,1520456047
waves,Waves,WAVES,31,6.08837,0.00062419,25163300.0,608837000.0,100000000.0,100000000.0,,1.02,-1.52,-4.76,1520456046
verge,Verge,XVG,32,0.0411744,0.00000422,22386800.0,604467557.0,14680664602.0,14680664602.0,16555000000.0,0.31,-16.45,-25.3,1520456044
status,Status,SNT,33,0.161552,0.00001656,51406000.0,560663597.0,3470483788.0,6804870174.0,,-0.98,-8.65,-1.54,1520456051
maker,Maker,MKR,34,867.894,0.0889783,786988.0,536556172.0,618228.0,1000000.0,,-0.88,-8.6,-16.58,1520456048
