id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,9390.33,1.0,6806150000.0,158799166355,16910925.0,16910925.0,21000000.0,0.74,6.53,-17.61,1520680165,1
ethereum,Ethereum,ETH,2,730.347,0.0781552,1856070000.0,71645885907.0,98098419.0,98098419.0,,0.55,7.94,-15.42,1520680152,1
ripple,Ripple,XRP,3,0.8371,0.00008958,743635000.0,32723876959.0,39091956706.0,99992520283.0,100000000000,0.88,7.06,-8.0,1520680141,1
bitcoin-cash,Bitcoin Cash,BCH,4,1047.31,0.112074,421237000.0,17814402724.0,17009675.0,17009675.0,21000000.0,0.56,8.0,-18.25,1520680152,1
litecoin,Litecoin,LTC,5,187.651,0.0200807,854627000.0,10426577816.0,55563668.0,55563668.0,84000000.0,0.27,12.06,-12.36,1520680141,1
neo,NEO,NEO,6,92.6492,0.00991448,175969000.0,6022198000.0,65000000.0,100000000.0,100000000.0,0.82,10.43,-26.08,1520680147,1
stellar,Stellar,XLM,7,0.312749,0.00003347,31461900.0,5785361835.0,18498418332.0,103748462367,,0.97,9.23,-2.35,1520680143,1
cardano,Cardano,ADA,8,0.220116,0.00002355,177496000.0,5706963059.0,25927070538.0,31112483745.0,45000000000.0,0.48,9.45,-26.17,1520680154,1
monero,Monero,XMR,9,286.722,0.0306824,109219000.0,4532665982.0,15808574.0,15808574.0,,0.24,10.97,-19.76,1520680142,1
eos,EOS,EOS,10,6.16839,0.00066009,333341000.0,4432535205.0,718588676.0,900000000.0,1000000000.0,1.21,9.14,-24.04,1520680151,1
dash,Dash,DASH,11,517.387,0.0553661,101659000.0,4106732919.0,7937449.0,7937449.0,18900000.0,0.01,14.13,-14.51,1520680141,1
iota,IOTA,MIOTA,12,1.43234,0.00015328,42926700.0,3981232406.0,2779530283.0,2779530283.0,2779530283.0,0.2,13.3,-24.32,1520680150,1
nem,NEM,XEM,13,0.353577,0.00003784,33987400.0,3182193000.0,8999999999.0,8999999999.0,,0.79,3.21,-10.66,1520680144,1
tron,TRON,TRX,14,0.0374162,0.00000400,289086000.0,2460047519.0,65748192475.0,100000000000,,0.75,13.13,-24.47,1520680153,1
ethereum-classic,Ethereum Classic,ETC,15,22.2542,0.00238145,347307000.0,2234476836.0,100406972.0,100406972.0,,0.5,4.02,-24.37,1520680147,1
tether,Tether,USDT,16,1.00437,0.00010748,2589440000.0,2226829719.0,2217140814.0,2280109970.0,,0.22,0.46,0.58,1520680145,1
vechain,VeChain,VEN,17,3.76617,0.00040302,77808100.0,1812023035.0,481131504.0,873378637.0,,1.07,9.59,-16.92,1520680152,1
nano,Nano,NANO,18,12.079,0.00129258,74918300.0,1609506085.0,133248289.0,133248289.0,133248290.0,2.19,27.13,-21.28,1520680149,1
lisk,Lisk,LSK,19,15.4679,0.00165523,22898600.0,1588018108.0,102665398.0,118882044.0,,0.73,8.87,-19.22,1520680146,1
omisego,OmiseGO,OMG,20,14.5491,0.00155691,54756900.0,1484627290.0,102042552.0,140245398.0,,2.06,17.09,-20.02,1520680152,1
bitcoin-gold,Bitcoin Gold,BTG,21,86.1315,0.00921702,23576800.0,1453196550.0,16871836.0,16971836.0,21000000.0,0.56,8.39,-22.87,1520680155,1
qtum,Qtum,QTUM,22,19.4279,0.002079,139536000.0,1436464344.0,73938220.0,100438220.0,,0.45,6.14,-25.27,1520680150,1
zcash,Zcash,ZEC,23,312.339,0.0334237,66714700.0,1077021005.0,3448244.0,3448244.0,,0.7,7.6,-20.28,1520680148,1
icon,ICON,ICX,24,2.73439,0.00029261,14578300.0,1055864229.0,386142514.0,400230000.0,,0.77,13.7,-26.89,1520680155,1
binance-coin,Binance Coin,BNB,25,8.19838,0.00087732,42453700.0,811754397.0,99014000.0,197192382.0,,0.87,10.49,-20.47,1520680153,1
digixdao,DigixDAO,DGD,26,372.368,0.0398474,25554500.0,744736000.0,2000000.0,2000000.0,,-1.64,26.69,-19.72,1520680146,1
steem,Steem,STEEM,27,2.58894,0.00027705,4043200.0,652618375.0,252079374.0,269053468.0,,0.02,10.22,-24.89,1520680146,1
populous,Populous,PPT,28,17.0652,0.00182616,3380140.0,631481120.0,37004027.0,53252246.0,53252246.0,1.52,25.24,-18.95,1520680152,1
bytecoin-bcn,Bytecoin,BCN,29,0.00333415,0.00000036,4787740.0,612729057.0,183773692502,183773692502,184470000000,0.58,9.69,-22.76,1520680142,1
waves,Waves,WAVES,30,5.93199,0.00063479,23455000.0,593199000.0,100000000.0,100000000.0,,0.69,2.65,-13.0,1520680147,1
verge,Verge,XVG,31,0.0402821,0.00000431,13579300.0,591953070.0,14695188928.0,14695188928.0,16555000000.0,0.89,13.96,-30.49,1520680144,1
stratis,Stratis,STRAT,32,5.77583,0.00061808,5956280.0,570485118.0,98771106.0,98771106.0,,-0.13,11.07,-32.49,1520680147,1
maker,Maker,MKR,33,837.126,0.0895817,1401010.0,517534540.0,618228.0,1000000.0,,0.85,5.08,-17.57,1520680148,1
rchain,RChain,RHOC,34,1.42516,0.00015251,807401.0,512215719.0,359409272.0,870663574.0,1000000000.0,0.04,9.0,-22.43,1520680154,1
status,Status,SNT,35,0.144849,0.00001550,36571700.0,502696106.0,3470483788.0,6804870174.0,,-0.43,3.65,-7.9,1520680151,1
dogecoin,Dogecoin,DOGE,36,0.00422377,0.00000045,12835000.0,479526296.0,113530399613,113530399613,,0.78,9.15,-23.98,1520680141,1
siacoin,Siacoin,SC,37,0.0140426,0.00000150,4165770.0,463511951.0,33007559244.0,33007559244.0,,1.21,10.33,-32.54,1520680145,1
bitshares,BitShares,BTS,38,0.170684,0.00001826,9613060.0,445553514.0,2610400000.0,2610400000.0,3600570502.0,-0.01,7.05,-25.52,1520680143,1
decred,Decred,DCR,39,63.8077,0.00682812,883743.0,440631142.0,6905611.0,7325611.0,21000000.0,0.67,11.99,-21.09,1520680146,1
aeternity,Aeternity,AE,40,1.87432,0.00020057,2853540.0,436754931.0,233020472.0,273685830.0,,-0.02,7.38,-19.46,1520680150,1
augur,Augur,REP,41,37.2914,0.00399059,2405210.0,410205400.0,11000000.0,11000000.0,,0.57,7.08,-20.86,1520680145,1
waltonchain,Waltonchain,WTC,42,16.3378,0.00174833,8523440.0,406781453.0,24898178.0,70000000.0,100000000.0,-0.26,9.63,-16.76,1520680153,1
veritaseum,Veritaseum,VERI,43,183.856,0.0196746,594107.0,374449484.0,2036645.0,100000000.0,,-1.59,9.71,-22.56,1520680150,1
komodo,Komodo,KMD,44,3.45094,0.00036929,1415140.0,358651915.0,103928760.0,103928760.0,,0.53,13.15,-24.07,1520680148,1
bytom,Bytom,BTM,45,0.361519,0.00003869,18003200.0,356819253.0,987000000.0,1407000000.0,,0.3,8.37,-7.83,1520680152,1
0x,0x,ZRX,46,0.666298,0.00007130,4680660.0,344242652.0,516649685.0,1000000000.0,,0.23,13.37,-29.27,1520680152,1
ark,Ark,ARK,47,3.33267,0.00035663,1055370.0,337064957.0,101139614.0,132389614.0,,0.61,10.37,-24.43,1520680149,1
electroneum,Electroneum,ETN,48,0.0524113,0.00000561,1611950.0,334478693.0,6381804938.0,6381804938.0,21000000000.0,0.53,12.47,-27.71,1520680155,1
cryptonex,Cryptonex,CNX,49,6.7281,0.00071998,167434.0,303819824.0,45156853.0,106594479.0,210000000.0,0.88,10.24,-15.58,1520680154,1
kucoin-shares,KuCoin Shares,KCS,50,3.28106,0.00035111,767976.0,298717795.0,91043076.0,181043076.0,,0.64,13.97,-21.07,1520680155,1
