id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,10002.2,1.0,8556430000.0,169097443255,16906025.0,16906025.0,21000000.0,1.51,-7.34,-5.04,1520458466
ethereum,Ethereum,ETH,2,747.281,0.0752813,2115500000.0,73267997158.0,98046113.0,98046113.0,,0.71,-8.55,-13.69,1520458449
ripple,Ripple,XRP,3,0.876734,0.00008832,879047000.0,34273247571.0,39091956706.0,99992520283.0,100000000000,2.98,-6.91,-4.17,1520458441
bitcoin-cash,Bitcoin Cash,BCH,4,1088.6,0.109666,437062000.0,18511792683.0,17005138.0,17005138.0,21000000.0,0.46,-9.35,-10.76,1520458452
litecoin,Litecoin,LTC,5,185.004,0.0186374,734952000.0,10272810679.0,55527506.0,55527506.0,84000000.0,2.05,-6.25,-10.56,1520458441
neo,NEO,NEO,6,100.783,0.0101529,279428000.0,6550895000.0,65000000.0,100000000.0,100000000.0,2.18,-4.28,-24.75,1520458447
cardano,Cardano,ADA,7,0.250912,0.00002528,189345000.0,6505413123.0,25927070538.0,31112483745.0,45000000000.0,1.71,-13.13,-20.01,1520458454
stellar,Stellar,XLM,8,0.322437,0.00003248,61119000.0,5954893357.0,18468393382.0,103748462367,,1.6,-6.21,-5.47,1520458442
monero,Monero,XMR,9,337.216,0.0339712,156721000.0,5327727810.0,15799155.0,15799155.0,,0.94,-2.51,16.49,1520458442
eos,EOS,EOS,10,6.58979,0.00066386,428400000.0,4706567171.0,714221116.0,900000000.0,1000000000.0,2.55,-9.32,-23.06,1520458451
iota,IOTA,MIOTA,11,1.52294,0.00015342,66627100.0,4233057849.0,2779530283.0,2779530283.0,2779530283.0,3.31,-10.48,-19.43,1520458451
dash,Dash,DASH,12,514.514,0.0518322,110473000.0,4081325822.0,7932390.0,7932390.0,18900000.0,0.83,-9.77,-13.19,1520458441
nem,NEM,XEM,13,0.306305,0.00003086,24400800.0,2756745000.0,8999999999.0,8999999999.0,,1.33,-9.41,-24.7,1520458444
tron,TRON,TRX,14,0.0391216,0.00000394,283465000.0,2572174487.0,65748192475.0,100000000000,,3.44,-11.08,-10.86,1520458453
ethereum-classic,Ethereum Classic,ETC,15,22.04,0.00222032,405672000.0,2211710540.0,100349843.0,100349843.0,,0.72,-13.78,-34.63,1520458447
tether,Tether,USDT,16,0.997207,0.00010046,2961680000.0,2151114935.0,2157139827.0,2220000000.0,,-0.5,-0.3,-0.3,1520458445
vechain,VeChain,VEN,17,4.05472,0.00040847,89294900.0,1933633796.0,476884667.0,873378637.0,,1.48,-14.04,-14.42,1520458453
lisk,Lisk,LSK,18,15.8724,0.00159899,34861600.0,1628137237.0,102576626.0,118793272.0,,3.35,-5.18,-15.1,1520458446
